DateTime,AddedIPs,RemovedIPs
1545893799,2,3
1545896061,1,4
1545897879,0,7
1545899809,4,4
1545901704,0,4
1545903624,1,2
1545905574,2,0
1545907716,6,0
1545909649,2,1
1545911555,4,4
1545913493,2,1
1545915376,2,2
1545917553,2,1
1545919488,1,1
1545921392,0,2
1545923344,2,0
1545925241,3,1
1545927417,1,1
1545933163,1,1
1545935060,2,3
1545937004,0,3
1545938896,3,2
1545940919,0,1
1545942772,0,1
1545944937,0,1
1545946821,1,2
1545948763,1,3
1545950697,3,2
1545952599,2,3
1545954534,2,4
1545956448,7,5
1545958354,0,1
1545960313,9,1
1545962516,4,1
1545964375,4,5
1545966331,3,0
1545968492,0,4
1545970378,0,2
1545972285,3,2
1545974186,1,2
1545976367,0,3
1545978267,0,4
1545980529,2,1
1545982411,1,2
1545984263,3,0
1545986176,4,2
1545988373,6,0
1545990262,1,1
1545992220,2,6
1545994342,0,2
1545996261,0,2
1545998214,2,4
1546000110,3,1
1546002308,0,4
1546004186,1,2
1546008018,2,0
1546009947,2,1
1546011882,2,3
1546013788,0,1
1546015974,1,0
1546019779,1,1
1546021996,2,3
1546023888,4,1
1546026049,1,2
1546029862,3,0
1546031792,4,1
1546033965,1,1
1546035858,0,1
1546037777,0,3
1546039987,2,1
1546041867,3,9
1546044035,1,1
1546046189,4,9
1546048421,3,4
1546050272,2,2
1546052184,3,2
1546054357,4,1
1546056289,3,0
1546058443,4,2
1546060366,15,1
1546062276,2,1
1546064454,4,0
1546066370,4,1
1546068267,3,0
1546070513,3,3
1546072352,7,3
1546074279,1,6
1546076205,3,2
1546078138,5,3
1546080049,3,0
1546085791,2,3
1546087955,3,2
1546089877,2,0
1546091803,3,0
1546093700,2,2
1546095706,1,1
1546097570,0,1
1546099498,3,1
1546101419,0,1
1546103550,1,1
1546107404,2,2
1546109551,0,4
1546111471,1,1
1546115314,1,3
1546117305,2,2
1546119145,2,3
1546121074,1,0
1546125173,2,2
1546127059,0,3
1546129265,1,3
1546131144,0,2
1546133306,3,1
1546135353,0,2
1546137376,1,5
1546139294,2,4
1546141212,0,5
1546143196,1,3
1546145095,4,4
1546147005,3,16
1546149178,2,4
1546151068,3,3
1546153007,7,5
1546154901,4,5
1546156905,5,2
1546158767,4,4
1546160679,1,2
1546162850,0,1
1546164744,2,6
1546168586,2,2
1546172438,1,0
1546174369,2,3
1546176309,3,3
1546178516,3,3
1546180374,1,1
1546182279,721,1
1546184216,3,0
1546186392,1,2
1546188266,2,0
1546190461,2,1
1546194539,2,0
1546197401,4,2
1546199315,1,0
1546203179,0,4
1546205061,0,1
1546207004,1,2
1546208928,3,0
1546210926,1,1
1546214682,1,1
1546216616,2,0
1546220422,1,4
1546222371,1,0
1546224276,1,1
1546226432,0,2
1546228374,0,2
1546230269,2,3
1546232207,3,2
1546234351,2,1
1546236287,4,4
1546238457,3,3
1546240369,2,5
1546242276,3,3
1546244190,3,5
1546246126,2,2
1546248046,1,0
1546249942,2,0
1546251907,1,2
1546253784,2,0
1546255950,0,2
1546257911,2,0
1546259783,2,0
1546261966,1,3
1546263873,1,3
1546265810,1,5
1546267694,1,721
1546269620,0,2
1546271542,1,1
1546273458,1,1
1546275408,2,1
1546277300,1,1
1546279475,1,1
1546281635,0,2
1546283552,1,2
1546285494,0,1
1546287391,0,1
1546291463,0,1
1546293397,1,1
1546295310,2,4
1546297327,0,2
1546299142,1,2
1546301340,2,1
1546303255,3,2
1546305391,1,3
1546307577,1,0
1546309484,0,1
1546311719,2,2
1546313536,0,1
1546315493,3,1
1546317413,2,4
1546319566,5,3
1546321451,2,4
1546323626,0,3
1546325538,0,4
1546327485,1,0
1546329374,0,3
1546331327,4,4
1546333306,5,3
1546335174,3,1
1546337113,2,1
1546340916,2,1
