DateTime,AddedIPs,RemovedIPs
1545960313,6,7
1545962518,10,3
1545964375,7,8
1545966332,4,3
1545968492,1,7
1545970379,9,4
1545972285,16,3
1545974186,3,4
1545976368,3,4
1545978268,5,8
1545980530,9,11
1545982412,8,7
1545984263,9,8
1545986176,12,11
1545988374,14,12
1545990263,11,8
1545992221,3,6
1545994343,3,7
1545996261,11,4
1545998214,6,6
1546000111,4,3
1546002309,2,9
1546004186,6,3
1546006100,9,7
1546008018,3,6
1546009948,3,3
1546011883,8,5
1546013789,8,5
1546015974,5,4
1546017870,3,10
1546019779,3,7
1546021996,12,7
1546023888,6,8
1546026050,7,5
1546027952,9,5
1546029862,2,5
1546031793,7,7
1546033966,6,7
1546035858,4,8
1546037778,9,6
1546039987,7,17
1546041868,7,10
1546044036,6,5
1546046190,4,6
1546048422,11,7
1546050272,6,8
1546052185,9,4
1546054358,5,1
1546056289,5,6
1546058443,4,15
1546060366,3,6
1546062276,6,3
1546064454,6,3
1546066371,9,12
1546068268,6,6
1546070514,6,10
1546072352,6,10
1546074279,20,13
1546076205,11,9
1546078138,9,6
1546080050,10,4
1546081960,9,6
1546083891,10,9
1546085792,6,3
1546087955,7,6
1546089878,9,4
1546091804,10,11
1546093704,2,2
1546095706,8,6
1546097571,9,6
1546099498,10,8
1546101420,9,4
1546103551,6,8
1546105466,5,1
1546107404,14,11
1546109551,11,7
1546111471,16,6
1546113416,6,11
1546115314,11,4
1546117305,8,2
1546119145,9,9
1546121075,11,9
1546123011,4,9
1546125173,5,6
1546127060,14,6
1546129265,12,4
1546131144,4,6
1546133307,8,4
1546135354,8,8
1546137377,7,9
1546139295,3,7
1546141213,6,5
1546143196,8,3
1546145095,10,4
1546147006,8,4
1546149178,5,7
1546151068,6,5
1546153007,6,8
1546154901,5,10
1546156906,5,3
1546158768,6,6
1546160680,8,13
1546162850,11,11
1546164745,3,13
1546166693,11,10
1546168587,7,9
1546170516,8,9
1546172438,3,6
1546174370,7,7
1546176309,3,8
1546178516,9,8
1546180375,10,3
1546182279,8,9
1546184216,7,9
1546186393,15,11
1546188267,6,7
1546190461,7,6
1546192350,6,9
1546194540,9,7
1546197402,9,18
1546199316,7,10
1546201222,6,16
1546203179,5,8
1546205062,8,8
1546207004,6,8
1546208928,6,5
1546210926,9,3
1546212772,7,12
1546214683,7,13
1546216617,3,4
1546218510,11,6
1546220423,7,7
1546222371,6,4
1546224277,6,5
1546226432,8,5
1546228374,6,8
1546230269,7,9
1546232208,6,7
1546234351,7,3
1546236287,10,8
