DateTime,AddedIPs,RemovedIPs
1545960314,47,33
1545962527,37,36
1545964376,27,22
1545966333,26,27
1545968493,40,32
1545970389,37,36
1545972286,32,28
1545974187,37,39
1545976369,49,37
1545978268,42,33
1545980532,23,29
1545982412,32,40
1545984264,22,30
1545986177,19,26
1545988374,21,29
1545990263,17,51
1545992222,35,44
1545994343,41,42
1545996262,19,41
1545998215,24,47
1546000112,25,48
1546002310,37,40
1546004187,42,67
1546006101,30,49
1546008019,56,23
1546009949,33,34
1546011884,60,67
1546013790,29,57
1546015975,58,81
1546017871,94,47
1546019780,98,50
1546021997,184,43
1546023889,97,31
1546026051,101,51
1546027953,82,45
1546029863,90,20
1546031794,80,29
1546033967,60,37
1546035859,70,11
1546037778,57,26
1546039988,66,28
1546041869,104,109
1546044037,45,27
1546046191,49,30
1546048423,55,46
1546050273,36,22
1546052186,44,31
1546054359,44,33
1546056290,32,36
1546058444,40,39
1546060367,34,33
1546062277,30,40
1546064455,56,54
1546066372,69,22
1546068269,61,23
1546070515,61,33
1546072353,49,17
1546074280,52,20
1546076206,63,18
1546078139,28,32
1546080051,37,33
1546081961,38,33
1546083892,38,27
1546085793,40,15
1546087956,43,28
1546089879,46,34
1546091804,38,30
1546093705,42,30
1546095719,70,39
1546097571,45,32
1546099499,50,57
1546101428,48,33
1546103552,82,52
1546105467,65,99
1546107405,64,120
1546109552,112,110
1546111472,114,88
1546113417,65,78
1546115321,51,90
1546117307,75,83
1546119146,62,49
1546121076,66,52
1546123012,56,58
1546125174,68,68
1546127060,58,52
1546129266,59,100
1546131145,38,39
1546133308,60,41
1546135355,65,52
1546137378,41,48
1546139296,45,36
1546141214,31,36
1546143197,38,34
1546145096,38,35
1546147007,36,32
1546149179,39,38
1546151069,44,61
1546153008,56,63
1546154902,36,64
1546156907,62,49
1546158768,47,44
1546160681,63,49
1546162851,53,70
1546164746,67,26
1546166694,99,35
1546168588,50,38
1546170517,38,32
1546172439,39,38
1546174371,42,38
1546176310,37,41
1546178517,51,40
1546180376,44,51
1546182280,3483,64
1546184217,2654,40
1546186394,900,48
1546188268,63,52
1546190475,64,102
1546192352,66,56
1546194541,75,121
1546196485,69,85
1546198349,74,92
1546200287,73,58
1546202183,43,51
1546204359,37,82
1546206283,35,64
1546208205,54,66
1546210097,45,56
1546212017,59,49
1546213956,50,56
1546216133,38,50
1546218986,44,67
1546220898,31,50
1546222821,38,53
1546224769,33,35
1546226678,31,37
1546228582,31,37
1546230491,32,32
1546232518,31,35
1546234352,25,26
1546236289,25,41
1546238459,33,63
1546240371,57,31
1546242278,43,45
1546244192,38,49
1546246128,40,47
1546248047,37,58
1546249944,40,52
1546251909,133,75
1546253785,126,89
1546255952,149,50
1546257916,73,32
1546259784,53,34
1546261967,64,46
1546263875,65,40
1546265811,41,39
1546267696,31,1202
1546269622,34,3288
1546271544,28,2537
1546273460,29,83
1546275410,76,61
1546277302,65,65
1546279476,72,73
1546281636,49,67
1546283554,51,67
1546285495,58,64
1546287393,61,42
1546289548,43,60
1546291464,44,26
1546293398,63,48
1546295312,46,48
1546297331,72,51
1546299144,39,69
1546301342,40,40
1546303256,21,36
1546305392,40,28
1546307578,29,47
1546309486,32,39
1546311738,41,46
1546313778,48,29
1546315944,27,41
1546317868,28,42
1546319784,27,36
1546321726,21,31
1546323627,36,21
1546325539,39,54
1546327486,46,49
1546329376,48,37
1546331328,38,42
1546333310,34,34
1546335176,28,41
1546337115,30,82
1546339002,59,93
1546340918,61,126
1546343139,81,128
1546345008,64,59
1546346913,68,51
1546348831,66,61
1546350766,53,72
1546352683,55,36
1546354924,71,44
1546356746,47,31
1546358687,55,32
1546360576,49,37
1546362525,65,73
1546364416,71,71
1546366337,58,61
1546368281,69,45
1546370453,66,70
1546372366,43,80
1546374281,85,45
1546376182,60,38
1546378376,60,51
1546380285,46,50
1546382201,38,52
1546384125,57,74
1546386029,54,45
1546388214,58,37
1546390351,35,22
1546392299,60,47
1546394196,38,20
1546396104,45,37
1546398100,39,37
1546399950,39,47
1546401887,38,25
1546403796,30,27
1546405716,50,25
1546407626,37,28
1546409791,27,38
1546411947,38,46
1546413859,35,49
1546415829,37,50
1546417701,43,37
1546419730,77,30
1546421566,63,23
1546423494,45,32
1546425413,39,71
1546427336,72,62
1546429250,90,65
1546431162,83,59
1546433075,86,57
1546435015,93,56
1546436935,92,40
1546438837,61,52
1546440766,97,48
1546442676,95,52
1546444583,70,45
1546446517,44,43
1546448548,57,59
1546450600,75,71
1546452503,48,71
1546454688,67,79
1546456608,65,65
1546458913,77,59
1546460896,49,92
1546462910,50,64
1546464760,46,54
1546466711,71,41
1546468838,65,44
1546470752,51,57
1546472675,46,44
1546474855,72,55
1546477327,141,63
1546479162,65,43
1546481094,37,36
1546482994,40,47
1546484900,50,34
1546487064,37,57
1546489241,73,34
1546491133,33,36
1546493055,39,45
1546495106,47,27
1546497173,81,28
1546499101,50,35
1546501005,54,39
1546502903,46,53
1546504857,66,32
1546506737,47,84
1546508683,47,56
1546510595,49,42
1546512525,50,57
1546514421,64,73
1546516348,88,74
1546518269,78,89
1546520206,90,71
1546522371,63,112
1546524539,94,69
1546526432,61,69
1546528379,53,91
1546530274,52,84
1546532220,49,53
1546534387,58,55
1546536274,59,60
1546538200,66,65
1546540359,82,51
1546542297,56,76
1546544214,59,50
1546546360,72,50
1546548272,69,44
1546550224,43,48
1546552124,41,70
1546554040,50,50
1546555968,57,60
1546557879,69,39
1546560150,51,62
1546561958,53,72
1546563894,60,103
1546565798,46,63
1546567728,54,35
1546569623,47,38
1546571562,36,42
1546573488,48,34
1546575663,51,73
1546577585,39,38
1546579469,48,35
1546581424,37,40
1546583308,32,71
1546585355,43,57
1546587193,51,52
1546589097,63,52
1546591010,48,54
1546592918,53,63
1546594833,54,59
1546596795,40,46
1546598706,60,60
1546600591,57,78
1546602529,57,98
1546604445,32,103
1546606404,51,93
1546608291,62,73
1546610184,57,80
1546612127,35,80
1546614303,52,69
1546616456,63,63
1546618597,58,49
1546620795,61,60
1546622691,80,64
1546624615,53,64
1546626519,48,81
1546628551,47,70
1546630620,58,75
1546632783,54,88
1546634670,45,63
1546636595,61,44
1546638518,57,40
1546640464,33,59
1546642369,45,59
1546644272,38,74
1546646214,44,42
1546648020,34,52
1546650107,65,65
1546651952,95,44
1546653898,36,60
1546655805,37,57
1546657970,49,47
1546659866,41,54
1546662054,45,56
1546663964,39,49
1546665881,40,55
1546667786,34,41
1546669950,33,57
1546671887,35,55
1546673779,33,48
1546675741,42,67
1546677626,32,59
1546679564,34,64
1546681474,42,55
1546683492,58,49
1546685601,39,72
1546687471,41,67
1546689391,51,54
1546691305,51,39
1546693306,36,64
1546695140,38,56
1546697076,52,56
1546699240,52,44
1546701147,49,47
1546703088,45,63
1546705020,55,49
1546706912,32,55
1546708840,41,73
1546710769,41,60
1546712671,47,50
1546714598,1458,48
1546716506,3320,35
1546718533,3378,47
1546720357,1258,33
1546722319,29,51
1546724458,91,51
1546726362,32,27
1546728281,12,25
1546730203,26,34
1546732121,22,32
1546734028,43,31
1546735972,66,43
1546737873,88,72
1546739790,71,20
1546741963,67,29
1546743886,61,26
1546746051,109,28
1546747952,64,34
1546749862,54,33
1546752054,57,37
1546753941,51,23
1546755899,47,20
1546757782,39,16
1546760018,65,25
1546762163,72,35
1546764027,40,21
1546765956,54,24
1546767865,41,34
1546770065,43,46
1546771959,31,25
1546773889,38,33
1546776076,48,52
1546777979,43,34
1546779904,49,23
1546782056,55,25
1546783963,37,48
1546785896,35,29
1546787782,43,34
1546789740,37,40
1546791925,40,39
1546793802,1404,34
1546795743,2904,26
1546797715,2135,27
1546799554,28,29
1546801502,17,23
1546803337,27,24
1546805337,34,34
1546807237,32,25
1546809181,29,69
1546811070,45,72
1546813307,78,35
1546815170,67,17
1546817094,152,19
1546818993,81,19
1546821162,83,63
1546823319,83,84
1546825270,67,75
1546827204,62,68
1546829105,85,52
1546831018,62,66
1546833202,144,106
1546835072,69,48
1546837016,68,62
1546838959,74,39
1546840945,65,49
1546842788,36,43
1546844710,86,39
1546846592,79,47
1546848531,135,66
1546850427,77,34
1546852356,74,62
1546854299,72,40
1546856231,76,35
1546858506,133,30
1546860503,161,37
1546862559,91,849
1546864380,85,2429
1546866552,60,3011
1546868439,112,2627
1546870356,126,47
1546872301,153,37
1546874188,97,42
1546876376,98,43
1546878299,75,41
1546880209,101,1183
1546882143,149,3166
1546884100,138,2773
1546885985,90,37
1546887899,55,22
1546890067,74,40
1546891951,135,40
1546893910,137,65
1546895796,117,41
1546897740,81,61
1546899637,85,72
1546901550,65,79
1546903492,51,157
1546905431,95,91
1546907581,156,78
1546909484,100,87
1546911390,84,72
1546913579,86,85
1546915487,82,86
1546917419,71,84
1546919305,90,121
1546921229,80,86
1546923181,72,67
1546925095,57,97
1546926994,62,71
1546928956,58,50
1546931213,95,109
1546933261,72,107
1546935144,46,128
1546937064,53,97
1546938995,74,78
1546941164,68,84
1546943094,69,101
1546945000,90,118
