DateTime,Entries,UniqueIPs
1545960316,899,899
1545962529,906,906
1545964378,904,904
1545966334,900,900
1545968494,899,899
1545970398,903,903
1545972288,893,893
1545974189,889,889
1545976370,884,884
1545978270,884,884
1545980533,878,878
1545982415,877,877
1545984266,872,872
1545986178,867,867
1545988376,861,861
1545990265,845,845
1545992223,855,855
1545994345,852,852
1545996264,833,833
1545998216,818,818
1546000113,804,804
1546002311,787,787
1546004188,756,756
1546006102,748,748
1546008021,755,755
1546009950,744,744
1546011885,738,738
1546013791,732,732
1546015976,724,724
1546017872,737,737
1546019781,730,730
1546021999,727,727
1546023891,726,726
1546026052,739,739
1546027954,731,731
1546029864,746,746
1546031795,760,760
1546033968,775,775
1546035860,794,794
1546037780,808,808
1546039990,823,823
1546041871,889,889
1546044038,906,906
1546046192,905,905
1546048425,924,924
1546050275,928,928
1546052190,933,933
1546054360,943,943
1546056292,943,943
1546058458,942,942
1546060369,949,949
1546062279,955,955
1546064473,959,959
1546066373,971,971
1546068270,984,984
1546070517,1000,1000
1546072355,1017,1017
1546074282,1041,1041
1546076208,1059,1059
1546078141,1059,1059
1546080052,1059,1059
1546081963,1072,1072
1546083894,1089,1089
1546085794,1109,1109
1546087958,1133,1133
1546089880,1155,1155
1546091806,1164,1164
1546093707,1175,1175
1546095721,1190,1190
1546097573,1198,1198
1546099502,1205,1205
1546101430,1212,1212
1546103553,1224,1224
1546105469,1216,1216
1546107407,1223,1223
1546109564,1228,1228
1546111474,1223,1223
1546113418,1226,1226
1546115323,1221,1221
1546117309,1215,1215
1546119148,1211,1211
1546121080,1215,1215
1546123014,1211,1211
1546125177,1208,1208
1546127062,1199,1199
1546129268,1148,1148
1546131147,1154,1154
1546133309,1160,1160
1546135356,1157,1157
1546137379,1163,1163
1546139298,1163,1163
1546141216,1164,1164
1546143199,1177,1177
1546145098,1184,1184
1546147009,1188,1188
1546149181,1196,1196
1546151071,1204,1204
1546153010,1212,1212
1546154903,1208,1208
1546156909,1212,1212
1546158770,1207,1207
1546160683,1190,1190
1546162853,1183,1183
1546164747,1199,1199
1546166696,1208,1208
1546168589,1211,1211
1546170518,1203,1203
1546172440,1200,1200
1546174372,1200,1200
1546176312,1199,1199
1546178519,1210,1210
1546180377,1219,1219
1546182282,1208,1208
1546184219,1206,1206
1546186396,1215,1215
1546188270,1237,1237
1546190477,1239,1239
1546192354,1244,1244
1546194543,1234,1234
1546196490,1247,1247
1546198351,1239,1239
1546200289,1245,1245
1546202185,1261,1261
1546204361,1258,1258
1546206285,1252,1252
1546208207,1260,1260
1546210105,1266,1266
1546212019,1265,1265
1546213957,1259,1259
1546216135,1256,1256
1546218987,1250,1250
1546220911,1252,1252
1546222823,1250,1250
1546224771,1255,1255
1546226679,1251,1251
1546228585,1240,1240
1546230493,1242,1242
1546232526,1237,1237
1546234354,1237,1237
1546236290,1224,1224
1546238464,1194,1194
1546240373,1214,1214
1546242280,1220,1220
1546244194,1220,1220
1546246130,1226,1226
1546248049,1227,1227
1546249946,1220,1220
1546251911,1193,1193
1546253787,1185,1185
1546255954,1189,1189
1546257919,1184,1184
1546259786,1180,1180
1546261969,1158,1158
1546263877,1148,1148
1546265814,1138,1138
1546267698,1123,1123
1546269624,1129,1129
1546271546,1112,1112
1546273461,1085,1085
1546275425,1078,1078
1546277304,1064,1064
1546279478,1052,1052
1546281638,1041,1041
1546283555,1031,1031
