DateTime,AddedIPs,RemovedIPs
1545885892,2,1
1545887787,1,1
1545889951,3,3
1545891872,3,2
1545893802,2,3
1545896065,1,4
1545897884,0,7
1545899814,2,4
1545901708,0,4
1545903635,1,2
1545905577,2,0
1545907719,4,0
1545909654,1,1
1545911571,4,4
1545913498,1,3
1545915379,2,2
1545917557,2,1
1545921395,0,2
1545923356,1,0
1545925245,3,1
1545927420,1,1
1545933176,1,1
1545935064,3,2
1545937007,0,3
1545938900,3,2
1545940934,0,1
1545942775,0,1
1545944941,0,1
1545946824,1,2
1545948766,1,3
1545950701,3,1
1545952603,2,3
1545954538,2,4
1545956452,1,5
1545958357,0,1
1545960317,2,1
1545962530,3,1
1545964379,3,4
1545966335,3,0
1545968495,0,4
1545970401,0,3
1545972289,3,1
1545974190,1,2
1545976371,0,3
1545978271,0,4
1545980534,3,0
1545982416,1,2
1545984267,2,0
1545986179,5,1
1545988377,6,0
1545990266,1,1
1545992224,2,3
1545994346,0,2
1545996264,0,1
1545998217,2,4
1546000114,3,1
1546002312,0,3
1546004201,2,1
1546008022,2,0
1546009951,2,1
1546011886,1,3
1546013792,0,2
1546019782,1,1
1546022000,2,3
1546023892,3,1
1546026053,1,2
1546027955,0,1
1546029865,2,0
1546031796,2,1
1546033969,2,0
1546035861,0,1
1546037781,0,2
1546039991,2,1
1546041872,3,3
1546044039,1,1
1546046193,4,2
1546048426,3,4
1546050276,2,2
1546052191,4,2
1546054361,4,1
1546056293,3,0
1546058459,4,2
1546060370,2,1
1546062280,2,1
1546064474,4,0
1546066374,4,1
1546068271,3,0
1546070518,3,2
1546072356,7,3
1546074283,1,6
1546076209,3,3
1546078142,4,3
1546080053,2,0
1546081964,1,0
1546085795,1,3
1546087959,3,2
1546089881,2,0
1546091807,3,0
1546093708,1,2
1546095722,1,1
1546097574,0,2
1546099503,3,1
1546103554,0,1
1546107408,1,2
1546109565,0,3
1546111475,1,1
1546115324,1,3
1546117310,2,3
1546119149,2,2
1546121081,1,0
1546125178,2,1
1546127063,0,4
1546129269,0,2
1546131148,0,2
1546133310,4,1
1546135357,0,2
1546137380,1,5
1546139299,2,3
1546141216,0,3
1546143200,1,3
1546145099,3,4
1546147009,1,3
1546149182,2,4
1546151072,3,3
1546153018,7,5
1546154904,3,5
1546156910,5,1
1546158771,3,4
1546160684,1,2
1546162854,0,2
1546164748,2,5
1546166697,0,1
1546168590,2,2
1546172448,0,1
1546174375,3,2
1546176313,2,3
1546178520,4,2
1546180378,2,1
1546182284,721,1
1546184220,3,0
1546186397,1,2
1546188271,2,0
1546190478,2,1
1546194544,1,0
1546196492,2,2
1546198352,2,0
1546202186,0,1
1546204362,0,2
1546206286,0,2
1546208208,3,0
1546210106,3,1
1546213958,1,0
1546216136,1,1
1546218988,1,1
1546220912,1,4
1546222824,1,0
1546224772,1,1
1546226680,0,2
1546228586,0,2
1546230494,3,3
1546232528,3,0
1546234355,1,1
1546236291,3,4
1546238472,3,3
1546240374,1,3
1546242281,3,2
1546244195,4,5
1546246131,0,2
1546248051,1,0
1546251912,1,2
1546253788,1,0
1546255955,1,2
1546257920,1,0
1546259787,2,0
1546261970,0,3
1546263878,0,2
1546265815,0,5
1546267699,1,721
1546269625,0,2
1546271546,1,1
1546273462,1,2
1546275426,2,1
1546277304,0,1
1546279479,2,1
1546281639,0,1
1546283556,1,2
1546285498,0,1
1546287395,0,1
1546291467,0,1
1546293401,1,1
1546295314,1,4
1546297334,0,2
1546299146,1,2
1546301345,2,1
1546303259,2,1
1546305407,0,3
1546307581,1,0
1546309488,0,1
1546311742,2,1
1546313780,0,1
1546315947,4,3
1546317871,1,4
1546319786,5,1
1546321729,0,4
1546323630,0,2
1546325542,0,4
1546327489,1,0
1546329378,0,2
1546331331,4,4
1546333318,4,1
1546335178,3,0
1546337118,2,1
1546340921,2,1
1546343141,4,1
1546345010,3,3
1546346916,1,0
1546348834,1,0
1546350769,2,0
1546352686,3,1
1546354927,1,0
1546356749,1,0
1546358691,1,0
1546360584,1,1
1546362528,0,3
1546364419,2,0
1546366340,2,1
1546370456,2,1
1546372368,1,0
1546374284,1,0
1546376185,0,1
1546380288,3,1
1546384131,2,2
1546386032,6,0
1546388217,3,1
1546390353,1,2
1546392301,4,2
1546394211,2,0
1546396107,3,1
1546398105,1,1
1546399953,3,2
1546401904,1,3
1546403799,0,2
1546405718,0,3
1546407629,2,2
1546409794,2,0
1546411949,2,0
1546415832,2,0
1546417704,2,4
1546419734,0,3
1546421569,1,3
1546423498,1,3
1546425415,1,0
1546427339,2,0
1546429253,5,3
1546431165,0,1
1546433078,2,3
1546435021,0,2
1546436938,0,4
1546438840,2,2
1546440769,1,0
1546442678,1,2
1546444586,2,1
1546446519,1,1
1546448552,0,1
1546450603,2,2
1546452506,2,0
1546454691,1,1
1546456611,1,1
1546458916,1,1
1546460898,1,2
1546462915,1,1
1546466715,0,3
1546468842,1,0
1546470755,1,2
1546472701,4,5
1546474861,3,4
1546477331,5,3
1546479165,1,3
1546481097,3,2
1546482997,2,2
1546484902,1,1
1546487067,1,4
1546489250,0,1
1546491135,1,2
1546493058,2,0
1546495109,0,4
1546497176,2,1
1546499105,2,1
1546501008,3,2
1546502905,2,2
1546504859,1,2
1546506740,1,0
1546508686,3,1
1546510598,0,1
1546512528,0,1
1546514423,1,3
1546516351,2,3
1546518272,1,1
1546520209,0,1
1546526435,1,2
1546528382,0,1
1546530277,0,1
1546536277,1,0
1546538202,3,4
1546540362,2,1
1546542301,2,1
1546548274,1,1
1546550226,3,2
1546552127,4,0
1546554043,1,1
1546555970,1,2
1546557881,3,0
1546560152,1,4
1546561960,1,2
1546563897,1,5
1546565800,3,1
1546567731,1,3
1546569625,2,2
1546571564,1,0
1546573491,0,1
1546577588,4,0
1546579472,4,2
1546581426,9,0
1546583311,4,1
1546585358,2,2
1546587195,10,4
1546589100,3,1
1546591012,6,1
1546592920,3,1
1546594835,2,2
1546596798,1,1
1546598708,2,1
1546600593,1,0
1546602532,0,4
1546604448,0,1
1546606407,3,0
1546608293,2,0
1546610186,2,0
1546612131,1,1
1546614309,1,0
1546616459,2,0
1546618600,3,0
1546620798,2,0
1546622694,2,1
1546624618,0,4
1546626522,1,3
1546628554,4,1
1546630622,1,0
1546634672,2,2
1546636598,0,3
1546638523,2,3
1546640467,3,1
1546644275,2,2
1546646216,1,1
1546648023,1,0
1546650109,3,2
1546651954,2,3
1546653901,3,0
1546655808,3,0
1546657972,2,2
1546659869,1,0
1546663967,4,3
1546665884,2,1
1546667791,2,9
1546669953,4,4
1546671889,3,3
1546673781,0,10
1546675744,1,5
1546677629,2,4
1546679567,2,3
1546681477,2,2
1546683495,1,2
1546685604,4,2
1546687474,1,1
1546689394,5,0
1546691308,1,0
1546693309,1,3
1546695154,0,2
1546697079,2,2
1546699243,1,0
1546701150,0,1
1546703091,1,1
1546705022,1,3
1546706914,1,2
1546708843,0,2
1546710771,2,0
1546712673,0,2
1546714600,1,4
1546716509,0,2
1546718537,0,1
1546720359,2,2
1546722326,2,0
1546724460,2,2
1546726365,1,1
1546728284,2,3
1546730206,1,0
1546732123,1,2
1546734032,1,3
1546735975,3,1
1546737875,2,4
1546739793,1,2
1546741977,3,6
1546743890,1,2
1546746054,3,2
1546749865,2,2
1546752057,0,2
1546753944,1,2
1546755902,0,2
1546757784,1,3
1546760021,0,1
1546762166,0,1
1546764030,2,2
