DateTime,AddedIPs,RemovedIPs
1545782562,0,2
1545784388,1,2
1545786331,0,3
1545788197,1,2
1545792027,1,0
1545793976,3,0
1545795895,3,0
1545798040,3,1
1545799953,0,1
1545803815,0,3
1545805963,1,1
1545809800,0,3
1545811753,2,0
1545813659,1,3
1545815562,0,2
1545817477,0,1
1545819678,0,1
1545821565,1,0
1545823491,1,0
1545825389,0,1
1545827357,1,1
1545829331,1,1
1545831177,1,1
1545835248,1,2
1545837150,1,3
1545839090,2,0
1545841017,0,2
1545843184,0,2
1545845071,3,1
1545847311,1,1
1545849170,2,1
1545851086,1,0
1545852996,2,2
1545854938,1,0
1545856850,3,1
1545858776,3,1
1545860680,4,0
1545862611,1,1
1545864535,1,0
1545866449,1,0
1545870272,2,1
1545872216,2,0
1545874118,1,0
1545876344,2,1
1545878218,0,1
1545880114,0,2
1545882288,2,4
1545884457,0,3
1545886339,2,0
1545896071,1,0
1545897890,0,2
1545899819,1,2
1545901714,1,0
1545905582,3,0
1545907725,0,1
1545909669,1,0
1545911577,1,1
1545913504,2,1
1545915385,1,0
1545917563,2,2
1545923370,1,0
1545925250,2,2
1545929323,0,1
1545931244,1,2
1545933182,3,1
1545935070,2,2
1545937013,0,2
1545938906,0,1
1545940940,2,0
1545942781,1,3
1545944947,0,3
1545946831,0,4
1545948773,4,0
1545950709,6,1
1545952609,1,1
1545954544,1,1
1545956458,0,2
1545958363,1,3
1545960323,0,1
1545962550,1,3
1545964384,1,0
1545966342,3,1
1545968501,0,2
1545970411,0,1
1545972294,0,2
1545982421,2,1
1545984272,1,0
1545986184,2,1
1545988382,1,1
1545992229,1,3
1545994351,1,0
1545996270,1,1
1546000119,1,2
1546002318,1,0
1546004207,2,2
1546009956,0,1
1546011891,0,1
1546013797,1,0
1546019788,0,3
1546022005,1,3
1546026059,2,1
1546027961,0,1
1546029882,1,1
1546031810,3,0
1546033986,2,6
1546035878,2,2
1546037786,0,5
1546041878,2,0
1546046198,3,1
1546048433,2,1
1546050292,3,1
1546052196,2,4
1546054366,1,0
1546058464,1,0
1546060377,1,0
1546062285,3,0
1546068287,1,1
1546070524,4,2
1546072361,1,3
1546074289,2,1
1546078147,1,1
1546080059,0,2
1546081969,0,1
1546083900,1,0
1546085801,2,0
1546087965,2,1
1546089887,1,3
1546093713,1,0
1546095728,2,0
1546099524,1,1
1546107413,4,0
1546109571,1,0
1546111481,1,1
1546113425,0,1
1546115329,3,0
1546117334,3,4
1546119154,1,2
1546121087,1,2
1546123020,0,1
1546129275,1,2
1546131154,1,1
1546133316,0,2
1546135363,2,1
1546137386,1,3
1546139305,0,1
1546141222,0,2
1546143205,1,1
1546145104,1,0
1546147015,0,1
1546149187,0,2
