DateTime,Entries,UniqueIPs
1545960322,23525,23525
1545962549,23537,23537
1545964383,23513,23513
1545966340,23525,23525
1545968500,23522,23522
1545970408,21048,21048
1545972293,17616,17616
1545974194,14438,14438
1545976376,10338,10338
1545978275,7105,7105
1545980538,6296,6296
1545982420,6341,6341
1545984271,6350,6350
1545986183,6365,6365
1545988381,6381,6381
1545990270,6364,6364
1545992228,6361,6361
1545994350,6352,6352
1545996269,6385,6385
1545998224,6398,6398
1546000118,6407,6407
1546002317,6417,6417
1546004206,6402,6402
1546006107,6387,6387
1546008026,6396,6396
1546009955,6378,6378
1546011890,6384,6384
1546013797,6395,6395
1546015982,6413,6413
1546017877,6453,6453
1546019787,6455,6455
1546022004,6441,6441
1546023897,6465,6465
1546026058,6478,6478
1546027960,6494,6494
1546029882,6599,6599
1546031809,6667,6667
1546033985,6721,6721
1546035878,6732,6732
1546037785,6730,6730
1546039995,6735,6735
1546041877,6648,6648
1546044043,6645,6645
1546046198,6658,6658
1546048432,6640,6640
1546050291,6624,6624
1546052195,6598,6598
1546054366,6581,6581
1546056298,6554,6554
1546058464,6523,6523
1546060375,6524,6524
1546062284,6509,6509
1546064479,6506,6506
1546066378,6512,6512
1546068286,6498,6498
1546070523,6494,6494
1546072360,6482,6482
1546074287,6479,6479
1546076213,7010,7010
1546078146,8236,8236
1546080058,9514,9514
1546081968,10087,10087
1546083899,10090,10090
1546085800,10066,10066
1546087963,10052,10052
1546089886,10020,10020
1546091811,10008,10008
1546093712,10010,10010
1546095727,10079,10079
1546097585,10072,10072
1546099522,10069,10069
1546101456,10062,10062
1546103560,10164,10164
1546105474,10169,10169
1546107412,10148,10148
1546109570,10148,10148
1546111480,10196,10196
1546113424,10260,10260
1546115328,10406,10406
1546117333,10445,10445
1546119153,10453,10453
1546121086,10473,10473
1546123019,10481,10481
1546125183,10454,10454
1546127074,10443,10443
1546129274,10449,10449
1546131153,10434,10434
1546133315,10437,10437
1546135362,10445,10445
1546137385,10445,10445
1546139304,10447,10447
1546141221,10430,10430
1546143204,10420,10420
1546145103,10425,10425
1546147014,10419,10419
1546149186,10408,10408
1546151076,10404,10404
1546153022,10384,10384
1546154909,10365,10365
1546156916,10368,10368
1546158775,10373,10373
1546160702,10394,10394
1546162858,10367,10367
1546164751,10414,10414
1546166714,10443,10443
1546168595,10464,10464
1546170525,10438,10438
1546172455,9254,9254
1546174380,8013,8013
1546176317,7247,7247
1546178526,7280,7280
1546180383,7280,7280
1546182288,8877,8877
1546184225,8897,8897
1546186402,8891,8891
1546188275,8882,8882
1546190483,8777,8777
1546192360,8775,8775
1546194549,8764,8764
1546196497,8732,8732
1546198357,8707,8707
1546200304,8729,8729
1546202191,8696,8696
1546204387,8485,8485
1546206290,8470,8470
1546208212,8452,8452
1546210111,8440,8440
1546212024,8425,8425
1546213963,8415,8415
1546216141,8422,8422
1546218106,8396,8396
1546219941,8367,8367
1546221901,8365,8365
1546224031,8338,8338
1546225970,8323,8323
1546227863,8292,8292
1546229783,8276,8276
1546231950,8252,8252
1546233893,8229,8229
1546235772,8208,8208
1546237966,8200,8200
1546239880,8173,8173
1546241813,8152,8152
1546243710,8119,8119
1546245625,8082,8082
1546247429,8020,8020
1546249465,7972,7972
1546251642,7917,7917
1546253538,7888,7888
1546255482,7834,7834
1546257379,7800,7800
1546259328,7766,7766
1546261290,7736,7736
1546263142,7700,7700
1546265089,7919,7919
1546266992,7943,7943
1546269158,6544,6544
1546271082,6590,6590
1546272977,6614,6614
1546275141,6632,6632
1546277058,6641,6641
1546278991,6664,6664
1546280899,6709,6709
1546282870,6782,6782
1546284770,6825,6825
1546286669,6848,6848
1546288574,6932,6932
1546290532,6981,6981
1546292423,7022,7022
1546294352,7065,7065
1546296283,7118,7118
1546298449,7136,7136
1546300363,7109,7109
1546302289,7113,7113
1546304183,7125,7125
1546306099,7137,7137
1546308092,7104,7104
1546309960,7101,7101
1546311897,7095,7095
1546313788,7104,7104
1546315952,7088,7088
1546317876,7077,7077
1546319791,7091,7091
1546321733,7091,7091
1546323638,7084,7084
1546325547,7079,7079
1546327494,7078,7078
1546329383,7084,7084
1546331336,7104,7104
1546333323,7103,7103
1546335183,7103,7103
1546337123,7095,7095
1546339009,7094,7094
1546340925,7076,7076
1546343146,7054,7054
1546345015,7326,7326
1546346920,7342,7342
1546348838,7338,7338
1546350773,7329,7329
1546352690,7316,7316
1546354932,7297,7297
1546356767,7270,7270
1546358695,7284,7284
1546360589,7296,7296
1546362534,7280,7280
1546364424,7294,7294
1546366344,7368,7368
1546368288,7354,7354
1546370460,7374,7374
1546372385,7360,7360
1546374288,7349,7349
1546376189,7372,7372
