DateTime,AddedIPs,RemovedIPs
1545935073,2,1
1545937016,2,1
1545938909,2,2
1545940943,0,2
1545942784,0,1
1545944950,3,4
1545946834,0,1
1545948776,3,2
1545950715,1,2
1545952612,0,2
1545954547,3,3
1545956461,1,0
1545958366,2,4
1545960326,2,3
1545962552,6,4
1545964387,2,2
1545966345,1,1
1545968504,0,2
1545970419,2,3
1545972297,10,0
1545974198,1,0
1545976379,0,1
1545978279,3,5
1545980542,6,4
1545982423,1,0
1545984275,2,4
1545986187,2,5
1545988385,4,6
1545990274,4,4
1545992232,0,2
1545994354,1,3
1545996273,1,1
1545998229,0,4
1546000122,2,0
1546002321,2,4
1546004210,0,1
1546006111,2,1
1546008030,0,2
1546009959,3,0
1546011894,0,2
1546013801,1,0
1546015986,1,2
1546017881,1,2
1546019792,1,4
1546022008,3,3
1546023902,1,1
1546026062,0,1
1546027964,2,1
1546029886,2,1
1546031813,1,2
1546033989,1,1
1546035882,0,2
1546037789,0,1
1546039999,4,1
1546041882,1,1
1546046202,3,1
1546048436,4,4
1546050295,3,2
1546052199,8,2
1546054370,2,0
1546056305,3,1
1546058468,3,9
1546060382,2,2
1546062288,3,0
1546064483,3,3
1546066382,0,7
1546068290,3,1
1546070527,2,1
1546072364,1,1
1546074292,4,5
1546076217,1,3
1546078150,0,1
1546080074,1,1
1546081972,4,0
1546083904,3,2
1546085804,3,0
1546087968,3,4
1546089890,1,0
1546091816,4,1
1546093716,1,1
1546095731,1,5
1546099531,4,3
1546101461,5,1
1546103565,0,2
1546105491,3,1
1546107417,5,4
1546109574,3,1
1546111485,4,1
1546113438,2,2
1546115332,1,2
1546117337,2,0
1546119160,1,2
1546121092,1,3
1546123024,1,1
1546125187,1,1
1546127078,2,0
1546129278,0,1
1546131157,1,4
1546133319,5,1
1546135366,1,4
1546137389,0,8
1546139321,0,4
1546141225,1,3
1546143209,5,1
1546145108,3,2
1546147019,3,3
1546149191,0,4
1546151081,1,2
1546153026,3,0
1546154913,3,3
1546156937,3,2
1546158780,3,1
1546160707,2,2
1546162863,5,1
1546164756,2,1
1546166718,7,2
1546168599,4,3
1546170533,1,4
1546172461,2,4
1546174384,2,4
1546176321,1,1
1546178530,3,3
1546180387,1,0
1546182293,2,2
1546186407,5,4
1546188280,2,3
1546190489,0,1
1546192365,1,3
1546194553,3,4
1546196502,0,2
1546198361,3,5
1546200311,3,3
1546202195,1,2
1546204392,1,1
1546208216,1,1
1546210130,2,0
1546212041,0,1
1546213967,0,1
1546218113,1,3
1546219946,1,3
1546225975,3,2
1546227867,2,1
1546229788,0,4
1546231960,2,2
1546233897,0,1
1546235776,4,0
1546237971,5,2
1546239885,1,4
1546241818,3,1
1546243727,4,5
1546245629,2,1
1546247433,1,2
1546249469,2,6
1546251646,5,0
1546253544,2,7
1546255487,1,3
1546257383,3,2
1546259336,1,2
1546261300,0,1
1546263146,1,1
1546265094,1,6
1546266998,5,0
1546269164,8,1
1546271086,7,0
1546272981,5,2
1546275145,7,3
1546277062,6,0
1546278995,2,1
1546280904,1,2
1546282911,1,2
1546284774,1,3
1546286674,2,1
1546288579,10,1
1546290536,2,0
1546296300,0,2
1546300367,1,0
1546304187,4,2
1546306103,2,1
1546308109,2,0
1546309964,1,0
1546311926,4,3
1546313792,1,2
1546315956,3,1
1546317880,4,1
1546319795,2,2
1546321737,2,3
1546323642,1,4
1546325551,5,4
1546327498,3,1
1546329387,4,8
1546331340,2,3
1546333326,2,2
1546335187,1,1
1546337128,27,6
1546339013,2,2
1546340929,1,2
1546343152,37,1
1546345019,23,3
1546346924,49,3
1546348842,5,0
1546350777,5,0
1546352694,9,1
1546354937,6,8
1546356771,2,7
1546358699,2,5
1546360593,4,4
1546362538,2,9
1546364427,1,2
1546366348,3,0
1546368292,1,0
1546370465,0,3
1546372389,7,0
1546374293,2,11
1546376200,1,2
1546378387,18,1
1546380311,3,1
1546382212,3,1
1546384140,10,1
1546386041,1,0
1546388226,46,2
1546390365,3,3
1546392324,39,0
1546394222,15,3
1546396117,14,0
1546398119,5,3
1546399962,12,3
1546401917,5,2
1546403808,6,3
1546405729,1,2
1546407638,1,4
1546409803,2,3
1546411958,0,8
1546413871,0,1
