DateTime,AddedIPs,RemovedIPs
1546556650,51,28
1546557373,22,66
1546558367,58,44
1546559070,43,44
1546560069,53,53
1546560758,36,35
1546561499,22,24
1546562191,39,34
1546562913,33,39
1546563638,33,43
1546564359,38,50
1546565069,55,43
1546565780,51,32
1546566496,40,33
1546567223,38,29
1546567932,25,40
1546568652,41,46
1546569371,37,43
1546570089,33,61
1546570822,45,43
1546571534,52,66
1546572251,64,54
1546572971,52,30
1546573938,41,55
1546574652,36,53
1546575629,53,44
1546576599,51,34
1546577564,22,40
1546578527,46,33
1546579209,26,42
1546580179,47,47
1546581132,46,29
1546581849,38,38
1546582611,36,37
1546583290,31,46
1546584010,47,35
1546584729,40,37
1546585700,46,54
1546586658,51,46
1546587620,51,44
1546588328,41,30
1546589059,26,56
1546590024,57,31
1546590732,33,48
1546591452,46,24
1546592167,30,56
1546592897,46,43
1546593611,56,38
1546594360,27,93
1546595069,94,28
1546596087,27,81
1546596772,77,21
1546597449,41,31
1546598174,38,42
1546599135,47,73
1546599854,72,25
1546600573,27,33
1546601288,27,56
1546602012,69,35
1546602731,42,41
1546603454,33,38
1546604425,46,42
1546605133,36,44
1546605852,39,38
1546606835,59,63
1546607549,53,38
1546608272,47,39
1546609241,36,54
1546609950,55,35
1546610677,34,41
1546611642,64,68
1546612597,51,36
1546613837,45,54
1546614771,52,63
1546615480,52,62
1546616438,64,56
1546617152,60,39
1546618162,49,49
1546619076,35,39
1546619790,45,32
1546620763,43,46
1546621456,37,50
1546622172,56,50
1546623140,47,27
1546623852,34,45
1546624597,43,38
1546625294,42,41
1546626013,48,47
1546626737,41,27
1546627452,42,43
1546628457,61,44
1546629135,43,46
1546630116,47,53
1546631074,57,54
1546631789,36,39
1546632765,51,63
1546633472,52,40
1546634440,48,54
1546635128,46,33
1546636121,43,32
1546637082,41,51
1546637773,39,34
1546638499,28,36
1546639470,50,59
1546640439,54,54
1546641404,38,28
1546642117,32,36
1546642861,38,32
1546643528,31,38
1546644255,30,44
1546644968,41,42
1546645939,45,38
1546646679,38,45
1546647370,52,33
1546648364,32,43
1546649055,43,33
1546649766,35,32
1546650492,19,26
1546651218,25,32
1546651936,24,34
1546652901,38,44
1546653607,33,26
1546654355,34,38
1546655074,36,41
1546655789,28,37
1546656763,61,38
1546657452,25,35
1546658175,25,30
1546659142,31,31
1546659849,22,55
1546660570,38,38
1546661542,45,55
1546662253,30,23
1546663213,34,49
1546663948,48,31
1546664656,33,39
1546665620,34,20
1546666612,24,42
1546667311,26,18
1546668286,17,43
1546668971,36,28
1546669939,34,33
1546670650,25,43
1546671626,59,25
1546672330,23,49
1546673056,60,35
1546673768,25,64
1546674492,70,29
1546675231,42,34
1546676192,34,42
1546676887,43,31
1546677610,32,32
1546678578,35,38
1546679289,36,129
1546680023,117,65
1546680737,45,33
1546681456,43,42
1546682166,50,27
1546682916,39,42
1546683884,34,41
1546684566,32,38
1546685578,52,49
1546686274,41,33
1546686998,30,32
1546687967,42,58
1546688652,59,34
1546689366,44,46
1546690092,58,53
1546690841,62,36
1546691554,38,65
1546692276,62,34
1546692967,36,43
1546693942,50,37
1546694650,30,33
1546695372,46,41
1546696099,40,45
1546696806,45,35
1546697534,44,43
1546698255,30,35
1546699213,37,52
1546700461,58,48
1546701131,35,40
1546701851,37,40
1546702570,35,51
1546703541,61,45
1546704566,47,50
1546705474,65,48
1546706448,41,35
1546707179,35,27
1546707850,34,46
1546708824,44,47
1546709531,43,36
1546710262,24,29
1546711216,51,48
1546711929,42,32
1546712654,23,30
1546713368,26,31
1546714338,36,36
1546715051,43,37
1546715773,25,38
1546716489,34,36
1546717210,45,29
1546717930,36,40
1546718654,32,54
1546719377,47,47
1546720341,66,41
1546721051,31,44
1546721774,38,39
1546722761,50,33
1546723491,24,33
1546724442,36,50
1546725148,30,41
1546725882,45,36
1546726589,37,49
1546727560,34,43
1546728266,49,23
1546729245,24,45
1546729930,36,34
1546730659,40,39
1546731612,29,44
1546732329,40,22
1546733076,31,47
1546733794,41,42
1546734517,37,35
1546735229,36,42
1546735956,40,23
1546736673,33,29
1546737644,33,28
1546738359,30,32
1546739321,32,41
1546740291,38,32
1546740969,42,42
1546741947,50,53
1546742920,38,56
1546743866,37,39
1546744567,29,33
1546745542,40,44
1546746502,41,22
1546747233,26,31
1546747937,38,31
1546748682,19,44
1546749616,51,37
1546750361,25,66
1546751066,45,52
1546752038,46,57
1546752732,48,31
1546753451,46,46
1546754176,35,32
1546754890,40,35
1546755612,31,35
1546756706,52,26
1546757330,27,34
1546758105,30,29
1546758726,36,32
1546759456,39,42
1546760412,32,25
1546761128,29,33
1546762147,37,30
1546763076,41,42
1546763797,35,34
1546764519,35,31
1546765240,27,39
1546765937,39,36
1546766650,48,43
1546767372,45,35
1546768092,43,31
1546768809,42,29
1546769596,34,28
1546770270,31,42
1546771213,39,57
1546771944,33,23
1546772655,18,35
1546773372,43,40
1546774346,48,36
1546775050,36,44
1546776034,42,53
1546776983,51,30
1546777688,40,42
1546778419,31,35
1546779135,36,26
1546779856,32,36
1546780664,40,43
1546781542,49,39
1546782249,31,26
1546782970,24,34
1546783694,56,24
1546784437,31,33
1546785156,31,35
1546785877,38,26
1546786587,34,31
1546787311,28,42
1546788035,36,37
1546788756,42,41
1546789722,50,36
1546791215,48,41
1546791905,26,30
1546792833,45,46
1546793560,42,47
1546794280,46,30
1546794989,36,38
1546795711,33,63
1546796444,60,41
1546797145,33,35
1546797879,55,52
1546798590,59,32
1546799309,40,42
1546800046,45,38
1546801000,45,44
1546801957,40,46
1546802676,43,36
1546803316,40,53
1546804108,47,30
1546804847,30,50
1546805529,34,46
1546806254,45,34
1546807217,35,39
1546807927,39,44
1546808659,55,44
1546809393,32,39
1546810092,34,28
1546810809,37,29
1546811532,29,42
1546812261,30,30
1546813269,37,58
1546813932,43,45
1546814655,48,44
1546815367,44,39
1546816093,26,31
1546816811,28,38
1546817542,39,44
1546818252,43,27
1546818972,21,37
1546819942,34,29
1546820649,21,35
1546821368,43,28
1546822098,34,34
1546822849,33,31
1546823787,45,55
1546824543,38,28
