DateTime,Entries,UniqueIPs
1546556650,8749,8749
1546557373,8705,8705
1546558367,8719,8719
1546559070,8718,8718
1546560069,8718,8718
1546560758,8719,8719
1546561499,8717,8717
1546562191,8722,8722
1546562913,8716,8716
1546563638,8706,8706
1546564359,8694,8694
1546565069,8706,8706
1546565780,8725,8725
1546566496,8732,8732
1546567223,8741,8741
1546567932,8726,8726
1546568652,8721,8721
1546569371,8715,8715
1546570089,8687,8687
1546570822,8689,8689
1546571534,8675,8675
1546572251,8685,8685
1546572971,8707,8707
1546573938,8693,8693
1546574652,8676,8676
1546575629,8685,8685
1546576599,8702,8702
1546577564,8684,8684
1546578527,8697,8697
1546579209,8681,8681
1546580179,8681,8681
1546581132,8698,8698
1546581849,8698,8698
1546582611,8697,8697
1546583290,8682,8682
1546584010,8694,8694
1546584729,8697,8697
1546585700,8689,8689
1546586658,8694,8694
1546587620,8701,8701
1546588328,8712,8712
1546589059,8682,8682
1546590024,8708,8708
1546590732,8693,8693
1546591452,8715,8715
1546592167,8689,8689
1546592897,8692,8692
1546593611,8710,8710
1546594360,8644,8644
1546595069,8710,8710
1546596087,8656,8656
1546596772,8712,8712
1546597449,8722,8722
1546598174,8718,8718
1546599135,8692,8692
1546599854,8739,8739
1546600573,8733,8733
1546601288,8704,8704
1546602012,8738,8738
1546602731,8739,8739
1546603454,8734,8734
1546604425,8738,8738
1546605133,8730,8730
1546605852,8731,8731
1546606835,8727,8727
1546607549,8742,8742
1546608272,8750,8750
1546609241,8732,8732
1546609950,8752,8752
1546610677,8745,8745
1546611642,8741,8741
1546612597,8756,8756
1546613837,8747,8747
1546614771,8736,8736
1546615480,8726,8726
1546616438,8734,8734
1546617152,8755,8755
1546618162,8755,8755
1546619076,8751,8751
1546619790,8764,8764
1546620763,8761,8761
1546621456,8748,8748
1546622172,8754,8754
1546623140,8774,8774
1546623852,8763,8763
1546624597,8768,8768
1546625294,8769,8769
1546626013,8770,8770
1546626737,8784,8784
1546627452,8783,8783
1546628457,8800,8800
1546629135,8797,8797
1546630116,8791,8791
