DateTime,AddedIPs,RemovedIPs
1546280904,5,1
1546283423,0,698
1546285345,699,0
1546286740,6,14
1546288634,8,11
1546289794,3,2
1546290879,5,5
1546292133,6,10
1546293933,8,14
1546294466,4,1
1546295724,0,682
1546296994,687,0
1546298068,9,5
1546299533,13,4
1546301666,15,9
1546302927,6,8
1546304191,5,1
1546305647,8,7
1546306844,5,10
1546308341,11,5
1546309710,9,6
1546311708,3,10
1546313318,4,3
1546314172,0,9
1546314988,2,5
1546316067,4,3
1546316916,4,2
1546317750,6,4
1546319450,10,7
1546321349,15,3
1546322170,0,715
1546323289,728,0
1546324950,27,3
1546326886,6,4
1546327705,0,754
1546329027,781,0
1546330474,32,8
1546332157,15,6
1546334088,12,4
1546335650,7,6
1546337158,6,7
1546337667,1,4
1546339344,15,6
1546340206,6,1
1546341282,3,4
1546342527,3,9
1546342955,0,2
1546344880,28,5
1546345706,18,1
1546346561,12,8
1546347386,0,868
1546348521,866,0
1546349716,6,11
1546352065,11,16
1546354533,8,12
1546355681,4,10
1546357357,6,6
1546358196,4,2
1546359339,4,6
1546360123,7,0
1546361726,6,12
1546362942,7,6
1546363707,3,1
1546365326,2,7
1546366451,0,845
1546367730,842,0
1546368987,4,3
1546370081,4,3
1546371328,5,5
1546373745,15,1
1546375246,6,5
1546376211,7,3
1546378106,21,6
1546379441,6,6
1546380632,3,1
1546381714,6,1
1546384470,6,19
1546385306,3,1
1546386132,0,874
1546388067,873,0
1546389330,7,5
1546390529,5,1
1546391667,0,879
1546395281,881,0
1546396965,9,6
1546397792,4,3
1546398955,10,7
1546400549,6,5
1546401389,3,2
1546402550,6,5
1546403739,4,7
1546405837,12,7
1546407763,6,6
1546408594,3,2
1546409685,3,3
1546410508,12,0
1546411348,0,906
1546412187,905,0
1546413358,6,8
1546414111,11,1
1546415791,15,18
1546416869,8,13
1546418550,9,11
1546420241,7,15
1546421479,5,8
1546422940,9,1
1546424153,3,7
1546425653,9,7
1546426609,11,8
1546428046,10,11
1546429251,13,6
1546430200,10,8
1546431271,17,6
1546432426,28,23
1546433729,10,5
1546435722,12,14
1546436557,3,10
1546437408,9,4
1546438468,6,3
1546439635,1,22
1546441845,30,23
1546442915,17,2
1546444588,26,9
1546445745,5,7
1546446522,1,2
1546447347,4,14
1546448521,5,5
1546449640,9,3
1546450842,15,11
1546451991,9,9
1546453729,17,7
1546456483,18,25
1546457323,4,5
1546458987,36,12
1546460139,21,13
1546461759,20,16
1546463665,18,10
1546464513,12,2
1546465937,22,13
1546467265,14,22
1546468545,0,1001
1546470873,1008,0
1546471716,5,3
1546473041,9,8
1546474247,8,8
1546475458,13,8
1546476629,13,5
1546477002,6,1
1546478149,18,4
1546479773,19,16
1546481151,5,10
1546483347,14,3
1546484209,7,4
1546485352,5,7
1546486856,10,9
1546488357,6,10
1546489660,11,4
1546490572,11,8
1546492246,7,17
1546494205,14,21
1546496068,8,11
1546497353,10,10
1546498612,8,4
1546500526,0,1044
1546501653,998,0
1546503319,12,9
1546504119,1,2
1546504970,4,9
1546505804,9,6
1546506945,12,7
1546508274,8,9
1546509412,7,3
1546510544,2,11
1546512157,5,8
1546513840,11,9
1546515052,9,26
1546516517,0,979
1546517688,971,0
1546518519,6,2
1546519348,9,3
1546521269,13,12
1546522551,8,11
1546523812,4,7
1546525708,27,7
1546526557,15,4
1546527401,8,2
1546528468,24,8
1546529694,6,14
1546531551,12,11
1546532909,16,9
1546533737,0,1029
1546534598,1031,0
1546535740,5,14
1546537348,14,14
1546538185,5,7
1546540113,11,6
1546540947,6,6
1546542877,6,18
1546543707,2,1
1546545330,9,7
1546546541,5,8
1546547313,3,0
1546548160,4,14
1546549790,32,8
1546551043,23,5
1546552587,42,1
1546553677,13,5
1546554908,13,5
1546556193,10,0
1546557289,7,2
1546558954,0,1120
1546560348,1131,0
1546561502,12,0
1546563388,16,3
1546564479,14,4
1546565726,12,4
1546566174,6,1
1546566988,7,1
1546568076,11,9
1546568920,11,0
1546569773,11,3
1546570589,3,2
1546571673,9,2
1546573368,17,6
1546574742,5,4
1546575931,3,2
1546576122,1,1
1546578639,7,7
1546580555,5,4
1546582490,6,9
1546584056,12,6
1546585845,14,8
1546587757,21,6
1546588609,8,0
1546589682,7,5
1546591361,10,5
1546592165,0,1267
1546593323,1269,0
1546594965,16,5
1546595812,6,0
1546596947,8,7
1546597700,0,1287
1546598853,1289,0
1546600476,11,10
1546601730,10,15
1546602931,7,7
1546604141,6,6
1546607454,38,11
1546608669,15,9
1546609362,4,1
1546610735,8,10
1546613439,15,14
1546614640,4,24
1546615708,4,1
1546617381,0,1303
1546618549,1303,0
1546620042,7,7
1546621000,5,2
1546622066,3,4
1546622915,4,0
1546624535,9,15
1546625746,10,7
1546626524,2,0
1546627675,8,8
1546629038,17,14
1546630955,7,15
1546632333,7,5
1546633510,4,1
1546634731,2,15
1546636242,4,10
1546638152,12,8
1546638987,6,0
1546640081,5,10
1546641335,6,11
1546642526,7,1
1546643668,2,11
1546645373,2,12
1546646198,1,2
1546648105,5,6
1546648961,2,10
1546649797,3,1
1546650880,3,1
1546651720,3,0
1546653028,2,10
1546654476,1,5
1546656046,2,2
1546657003,4,0
1546658148,4,8
1546659760,4,2
1546661662,0,1263
1546662523,1264,0
1546664122,0,1264
1546665347,1265,0
1546666127,4,0
1546667793,5,6
1546668934,10,4
1546670437,10,3
1546671570,3,4
1546673309,5,2
1546674954,7,3
1546676144,5,3
1546677353,1,10
1546678539,3,4
1546679743,10,5
1546680518,3,0
1546681357,5,7
1546683266,18,8
1546684120,8,0
1546684946,11,7
1546686193,10,8
1546687557,5,2
1546688723,0,1312
1546690475,1308,0
1546691306,10,1
1546692146,6,6
1546693389,6,12
1546694906,6,0
1546696237,11,24
1546697679,5,13
1546698942,13,12
1546701023,0,1297
1546702250,1303,0
1546703742,9,3
1546704889,6,5
1546706559,0,1310
1546708232,1312,0
1546709711,13,7
1546711544,13,6
1546712910,12,0
1546714226,9,12
1546715440,9,3
1546717354,14,6
1546718734,7,22
1546720089,0,1333
1546721550,1320,0
1546722668,5,25
1546723707,8,0
1546725466,6,21
1546727315,12,6
1546728148,3,15
1546729822,9,14
1546731772,1,19
1546732601,3,3
1546733677,4,12
1546734523,2,0
1546735373,3,18
1546737036,2,15
1546738287,2,13
1546740876,3,13
1546741722,5,0
1546743400,5,18
1546744548,3,4
1546745733,1,6
1546747003,4,0
1546748151,2,4
1546749614,1,3
1546751443,4,5
1546752685,0,1194
1546754190,1193,0
1546756121,1,5
1546757402,4,20
1546758879,6,21
1546760453,7,11
1546761800,5,10
1546764162,9,10
1546764986,0,1148
1546766150,1136,0
1546767766,6,9
1546769674,7,16
1546771234,4,16
1546773039,6,9
1546774205,6,16
1546774955,1,1
1546775788,5,4
1546776889,4,28
1546779349,6,21
1546780536,2,19
1546781712,7,14
1546783541,6,23
1546784051,0,1020
1546785756,1024,0
1546787669,6,16
1546788520,5,1
1546790142,6,11
1546791265,5,8
1546792491,6,9
1546794645,9,13
1546796548,7,12
1546797935,7,18
1546799304,5,2
1546800992,15,24
1546802907,3,4
1546804603,8,14
1546805667,2,6
1546806504,4,3
1546807836,3,25
1546809035,5,9
1546810945,16,11
1546812867,9,14
1546813708,7,2
1546814560,2,7
1546816468,16,9
1546817309,6,2
1546818148,1,14
1546820074,11,26
1546821757,5,14
1546823412,0,919
1546824531,911,0
1546827291,17,9
1546828107,2,2
1546828947,0,919
1546829807,918,0
1546830949,9,10
1546832144,5,8
1546833323,9,2
1546834483,0,921
1546836164,919,0
1546836998,1,2
