DateTime,AddedIPs,RemovedIPs
1546261837,8,4
1546263760,17,9
1546265678,21,5
1546267373,7,5
1546268943,9,8
1546270483,26,11
1546270980,12,1
1546271799,14,1
1546273725,13,7
1546276256,18,19
1546278167,10,11
1546279012,2,2
1546280156,7,3
1546280917,5,1
1546285359,33,33
1546286754,6,14
1546288673,7,11
1546289809,3,1
1546290894,6,5
1546292150,5,8
1546293982,7,14
1546294481,4,0
1546295746,5,8
1546297008,6,2
1546298086,9,4
1546299563,11,3
1546301681,16,8
1546302944,5,9
1546304226,4,2
1546305662,5,5
1546306860,5,7
1546308384,11,5
1546309725,9,6
1546311738,3,10
1546313333,4,3
1546314188,0,9
1546315005,2,3
1546316083,4,3
1546316933,4,2
1546317765,6,4
1546321364,22,8
1546322196,7,2
1546323314,17,5
1546324965,25,4
1546326903,6,4
1546327728,14,4
1546329042,22,7
1546330490,35,8
1546332171,14,5
1546334104,10,4
1546335676,6,6
1546337684,6,9
1546339359,13,5
1546340220,6,1
1546341297,4,4
1546342971,1,10
1546344894,29,5
1546345720,16,0
1546346576,11,8
1546347410,10,4
1546348545,1,9
1546349732,6,11
1546352079,10,16
1546354547,8,11
1546355696,2,8
1546357372,4,6
1546358209,4,1
1546359353,4,5
1546360138,6,0
1546361740,6,10
1546362956,6,6
1546363721,3,1
1546365340,1,7
1546366460,2,7
1546367747,4,2
1546369002,4,2
1546370094,4,3
1546371343,4,5
1546373758,14,1
1546375261,6,3
1546376225,8,3
1546378120,20,6
1546379455,5,6
1546380646,3,0
1546381736,6,1
1546384486,8,17
1546385323,2,3
1546388083,12,11
1546389344,4,5
1546391685,6,2
1546393536,9,7
1546395295,5,7
1546396979,7,6
1546397808,4,3
1546399002,9,6
1546400565,6,5
1546401404,3,2
1546402577,6,2
1546403757,4,8
1546405853,12,5
1546407778,6,6
1546408609,3,2
1546409700,6,2
1546410523,9,1
1546411367,4,12
1546412204,7,1
1546413374,5,7
1546414127,10,1
1546415808,14,19
1546418567,16,23
1546420259,7,14
1546421520,6,8
1546422955,7,1
1546424184,2,7
1546425696,11,7
1546426623,10,7
1546428062,10,11
1546429284,13,5
1546430216,10,8
1546431286,17,6
1546432471,29,17
1546433743,8,5
1546435737,7,14
1546436565,2,10
1546437442,9,3
1546438484,6,3
1546439667,1,22
1546441860,29,23
1546442930,16,2
1546444603,26,9
1546445763,5,7
1546446539,1,2
1546447361,4,13
1546448568,5,5
1546449904,11,4
1546451126,16,10
1546452312,6,10
1546456504,27,24
1546457338,4,5
1546459002,33,12
1546460155,20,11
1546461774,17,16
1546463679,17,8
1546464528,13,2
1546465964,21,10
1546467280,14,21
1546468553,11,10
1546470890,30,22
1546471732,6,3
1546473058,8,7
1546474263,6,7
1546475511,14,7
1546476648,13,5
1546477018,5,1
1546478164,17,5
1546479788,18,15
1546481188,5,10
1546483364,14,3
1546484223,5,4
1546485413,5,7
1546486887,8,10
1546488405,6,9
1546489678,11,5
1546490588,10,6
1546492261,10,16
1546493397,9,21
1546494221,3,1
1546496083,8,10
1546497391,10,10
1546498628,7,5
1546499781,11,24
1546500535,3,4
1546501707,4,34
1546503344,10,7
1546504136,1,2
1546504987,4,9
1546505820,8,6
1546506963,11,6
1546508292,8,9
1546509430,6,3
1546510578,2,10
1546512172,5,8
1546513856,11,9
1546515084,10,26
1546516539,15,14
1546517712,3,12
1546518535,5,2
1546519362,9,3
1546521286,12,10
1546522569,8,10
1546523847,5,7
1546525723,24,7
1546526572,15,4
1546527422,9,2
1546528484,23,8
1546529712,6,14
1546531602,12,11
1546532923,15,9
1546533764,7,4
1546534613,4,4
1546535759,2,12
1546537364,14,13
1546538201,5,7
1546540127,10,6
1546540962,6,5
1546542891,5,18
1546543728,1,1
1546545345,7,6
1546546559,4,7
1546547330,3,0
1546548173,4,12
1546549813,31,8
1546551071,22,5
1546552602,42,1
1546553690,13,5
1546554931,13,4
1546557307,16,2
1546558969,18,6
1546560396,10,5
1546561542,12,0
1546563404,15,3
1546565740,23,6
1546566190,4,1
1546567004,7,1
1546568092,12,8
1546568936,10,0
1546569789,10,2
1546570605,3,2
1546571689,8,2
1546573385,17,6
1546574760,5,4
1546575947,3,2
1546576137,1,1
1546578656,7,7
1546580570,5,4
1546582518,5,9
1546584094,12,4
1546585860,13,7
1546587772,19,5
1546588644,8,0
1546589700,7,5
1546591378,10,5
1546593348,9,7
1546594981,17,5
1546595829,5,0
1546596975,8,7
1546597716,2,0
1546598899,5,5
1546600490,11,10
1546601745,9,15
1546602946,6,7
1546604162,5,5
1546607496,36,10
1546608715,15,8
1546609378,4,1
1546610752,7,9
1546613456,15,14
1546614654,4,24
1546615723,4,1
1546618564,12,12
1546620070,7,6
1546621014,4,2
1546622081,3,3
1546622927,5,0
1546624550,8,15
1546625763,10,7
1546626539,2,0
1546627716,8,7
1546629053,16,14
1546630970,6,14
1546632347,4,4
1546633537,3,1
1546634747,2,14
1546636256,4,10
1546638169,12,8
1546639000,4,0
1546640094,5,10
1546641351,6,10
1546642540,7,1
1546643729,1,11
1546645390,0,11
1546646213,1,2
1546648121,5,5
1546648975,1,9
1546649813,2,1
1546650897,3,1
1546651734,3,0
1546653043,2,9
1546654491,1,4
1546656063,1,2
1546657019,4,0
1546658165,3,7
1546659779,3,2
1546661687,4,5
1546662541,2,0
1546664143,4,4
1546665362,4,3
1546666143,4,0
1546667808,4,6
1546668952,10,4
1546670454,10,2
1546672057,3,4
1546673326,5,2
1546674995,5,1
