DateTime,Entries,UniqueIPs
1546250195,3874,3874
1546252120,3895,3895
1546253331,3843,3843
1546254869,3858,3858
1546256576,3877,3877
1546257967,3952,3952
1546259310,3975,3975
1546260193,3967,3967
1546261813,3982,3982
1546265669,3948,3948
1546267364,3906,3906
1546268935,3883,3883
1546270448,3882,3882
1546270971,3883,3883
1546271790,3879,3879
1546272957,3861,3861
1546273715,3873,3873
1546276246,3850,3850
1546278158,3801,3801
1546279002,3802,3802
1546280144,3833,3833
1546280909,3868,3868
1546284641,3801,3801
1546285351,3817,3817
1546286745,3804,3804
1546288645,3783,3783
1546289800,3793,3793
1546290884,3765,3765
1546292138,3779,3779
1546293937,3729,3729
1546294472,3735,3735
1546295732,3729,3729
1546296999,3752,3752
1546298075,3742,3742
1546299539,3739,3739
1546301672,3750,3750
1546302933,3739,3739
1546304196,3779,3779
1546305652,3817,3817
1546306849,3809,3809
1546308350,3832,3832
1546309716,3851,3851
1546311714,3793,3793
1546313323,3869,3869
1546314995,3852,3852
1546316073,3864,3864
1546316922,3872,3872
1546317756,3810,3810
1546319456,3820,3820
1546321354,3836,3836
1546322186,3834,3834
1546323294,3823,3823
1546324956,3833,3833
1546326892,3879,3879
1546327718,3884,3884
1546329033,3898,3898
1546330480,3916,3916
1546332162,3921,3921
1546334094,3926,3926
1546335656,3901,3901
1546337163,3887,3887
1546337674,3905,3905
1546339350,3950,3950
1546340210,3965,3965
1546341287,3969,3969
1546342531,3957,3957
1546342960,3959,3959
1546344885,4006,4006
1546345711,4021,4021
1546346567,4003,4003
1546347401,4006,4006
1546348534,3998,3998
1546349722,4001,4001
1546352070,3973,3973
1546354538,4019,4019
1546355686,4002,4002
1546357362,4025,4025
1546358202,4063,4063
1546359344,4103,4103
1546360129,4128,4128
1546361731,4109,4109
1546362946,4129,4129
1546363712,4155,4155
1546365330,4194,4194
1546367735,4127,4127
1546368993,4157,4157
1546370086,4179,4179
1546371333,4166,4166
1546373749,4195,4195
1546375251,4227,4227
1546376216,4251,4251
1546378111,4230,4230
1546379446,4215,4215
1546380637,4220,4220
1546381719,4276,4276
1546384476,4339,4339
1546385312,4345,4345
1546388073,4404,4404
1546389335,4437,4437
1546391676,4453,4453
1546393521,4498,4498
1546395286,4500,4500
1546396970,4562,4562
1546397798,4589,4589
1546398964,4655,4655
1546400555,4674,4674
1546401395,4688,4688
1546402557,4658,4658
1546403745,4667,4667
1546405843,4741,4741
1546407769,4716,4716
1546408600,4711,4711
1546409690,4699,4699
1546410513,4737,4737
1546412193,4732,4732
1546413363,4726,4726
1546414117,4762,4762
1546415797,4800,4800
1546416876,4837,4837
1546418556,4860,4860
1546420247,4891,4891
1546421488,4855,4855
1546422946,4927,4927
1546424159,4921,4921
1546425660,4917,4917
1546426614,4997,4997
1546428052,5017,5017
1546429256,5037,5037
1546430206,5047,5047
1546431277,5047,5047
1546432441,5041,5041
1546433734,5138,5138
1546435727,5180,5180
1546436562,5205,5205
1546437414,5231,5231
1546438474,5240,5240
1546441850,5288,5288
1546442921,5337,5337
1546444593,5356,5356
1546445753,5412,5412
1546446529,5438,5438
1546447353,5436,5436
1546448532,5496,5496
1546449646,5540,5540
1546450847,5519,5519
1546452003,5498,5498
1546453735,5532,5532
1546456489,5537,5537
1546457328,5573,5573
1546458992,5639,5639
1546460143,5654,5654
1546461764,5673,5673
1546463670,5713,5713
1546464518,5736,5736
1546465947,5801,5801
1546467271,5884,5884
1546470880,6045,6045
1546471722,6061,6061
1546473047,6021,6021
1546474252,6009,6009
1546475464,6024,6024
1546476634,6048,6048
1546477008,6064,6064
1546478154,6094,6094
1546479778,6105,6105
1546481161,6171,6171
1546483353,6135,6135
1546484214,6157,6157
1546485361,6172,6172
1546486862,6204,6204
1546488362,6200,6200
1546489667,6249,6249
1546490578,6256,6256
1546492251,6314,6314
1546494212,6355,6355
1546496074,6334,6334
1546497360,6359,6359
1546498618,6408,6408
1546501659,6401,6401
1546503327,6425,6425
1546504126,6448,6448
1546504976,6399,6399
1546505810,6416,6416
1546506951,6414,6414
1546508280,6384,6384
1546509419,6433,6433
1546510553,6408,6408
1546512162,6408,6408
1546513845,6415,6415
1546515058,6393,6393
1546516523,6419,6419
1546517693,6459,6459
1546518525,6474,6474
1546519354,6490,6490
1546521275,6482,6482
1546522557,6457,6457
1546523818,6499,6499
1546525713,6547,6547
1546526562,6539,6539
1546527409,6555,6555
1546528475,6555,6555
1546529701,6579,6579
1546531564,6568,6568
1546532914,6636,6636
1546533754,6619,6619
1546534603,6629,6629
1546535746,6608,6608
