DateTime,AddedIPs,RemovedIPs
1545896026,12,10
1545897856,12,17
1545899791,7,24
1545901691,10,14
1545903609,6,9
1545905556,7,12
1545907694,11,3
1545909630,4,3
1545911536,5,0
1545913475,1,10
1545915363,2,17
1545917538,11,14
1545919469,10,12
1545923320,12,21
1545925229,21,11
1545927400,18,0
1545929296,10,14
1545931219,6,8
1545933145,13,14
1545935047,13,11
1545936985,14,9
1545938884,18,12
1545940816,9,12
1545942759,12,9
1545944919,7,5
1545946809,8,0
1545948737,5,28
1545950678,8,17
1545952581,13,6
1545954514,10,0
1545956428,16,14
1545958334,6,0
1545960272,7,26
1545962431,18,0
1545964353,16,0
1545966276,11,11
1545968460,8,14
1545970345,11,7
1545972274,13,8
1545974171,13,11
1545976358,19,19
1545978252,9,9
1545980436,17,19
1545982390,13,0
1545984252,22,16
1545986166,9,9
1545988358,15,12
1545990251,11,0
1545992192,8,7
1545994333,14,0
1545996252,5,6
1545998187,14,6
1546000092,2,0
1546002764,4,0
1546004675,10,17
1546008739,16,8
1546010650,7,7
1546012836,6,12
1546014740,11,13
1546016670,9,17
1546018570,15,20
1546020739,12,18
1546022656,11,14
1546024601,11,0
1546026493,15,16
1546028411,11,11
1546030353,13,14
1546032281,14,11
1546034166,14,13
1546036117,15,11
1546038036,11,9
1546039956,9,0
1546041853,11,15
1546044023,11,10
1546046177,4,15
1546050254,10,8
1546052171,12,12
1546054339,6,0
1546056273,10,13
1546058425,3,26
1546060354,12,0
1546062257,13,6
1546064438,19,17
1546066358,19,11
1546068255,15,14
1546070443,12,16
1546072337,9,20
1546074266,8,0
1546076187,14,7
1546078124,8,0
1546080032,3,6
1546081943,7,7
1546083870,11,11
1546085779,9,6
1546087938,8,15
1546089855,7,17
1546091786,7,19
1546093688,20,15
1546095635,10,8
1546097552,13,22
1546101399,10,20
1546103535,7,0
1546105449,21,20
1546107389,13,0
1546109532,16,22
1546111456,20,10
1546113386,13,15
1546115290,15,12
1546117237,8,13
1546119134,17,5
1546121056,16,13
1546123001,10,0
1546125156,14,9
1546127049,14,12
1546129239,24,12
1546131133,21,12
1546133294,17,13
1546135241,11,13
1546139074,19,25
1546140968,13,15
1546143182,14,12
1546145078,17,0
1546146980,16,22
1546149158,16,0
1546151052,25,18
1546152997,13,24
1546154891,9,17
1546156857,16,10
1546158757,16,25
1546162838,8,43
1546164733,14,16
1546166676,4,4
1546168576,7,8
1546170499,3,7
1546172420,3,0
1546174356,12,20
1546176289,9,0
1546180361,17,44
1546182261,17,0
1546184193,8,34
1546186381,13,18
1546188250,18,13
1546192338,14,24
1546194530,14,27
1546196424,14,21
1546198343,6,22
1546200272,4,23
1546204341,18,19
1546208192,20,15
1546210090,14,17
1546212011,12,14
1546213944,15,0
1546216117,12,28
1546218071,10,22
1546219935,7,0
1546221882,9,7
1546224019,12,16
1546225962,7,12
1546227850,9,17
1546229777,5,16
1546231934,20,18
1546233878,9,23
1546235766,9,0
1546237960,7,31
1546239867,12,26
1546241794,17,29
1546243698,18,16
1546245618,12,16
1546247786,12,20
1546249712,11,12
1546251623,10,11
1546253530,2,5
1546255470,1,0
1546257371,13,16
1546259311,14,17
1546263135,18,39
1546265072,16,14
1546266980,13,16
1546269146,14,13
1546271069,14,10
1546272970,8,13
1546275134,17,18
1546277051,13,8
1546278974,11,13
1546280892,17,8
1546282816,16,19
1546284756,12,14
1546288568,16,11
1546290517,12,12
1546292412,12,15
1546294334,18,16
1546296270,17,16
1546300355,13,29
1546302278,9,9
1546304170,12,11
1546306086,15,13
1546308022,11,8
1546309943,7,12
1546311878,8,16
1546313773,12,18
1546315939,15,21
1546317854,5,15
1546319773,12,17
1546321715,4,16
1546323618,16,11
1546327470,11,31
1546329366,15,26
1546331309,13,17
1546333219,13,21
1546335159,6,7
1546337059,13,14
1546338988,3,11
1546340909,5,4
1546343556,7,40
1546345456,14,0
1546347369,15,16
1546349310,15,32
1546351221,16,0
1546353134,19,0
1546355078,14,16
1546356970,13,8
1546359177,15,35
1546361077,20,11
1546362974,7,18
1546365137,19,20
1546367048,11,14
1546368992,5,0
1546370890,20,19
1546372822,8,0
1546374732,6,7
1546376681,4,9
1546378813,9,9
1546380761,13,15
1546382677,7,0
1546386753,8,20
1546388662,11,14
1546390590,9,30
1546392738,9,18
1546394651,11,21
1546396573,5,17
1546398760,10,15
1546400656,17,11
1546402593,13,9
1546404494,7,11
1546406659,10,11
1546408587,12,17
1546414813,12,31
1546416777,15,9
1546418654,7,15
1546420576,6,0
1546422490,14,17
1546424419,0,4
1546426352,3,2
1546428253,3,22
1546430173,7,15
1546432113,17,0
1546434038,15,13
1546435959,15,9
1546437881,16,9
1546439790,13,0
1546441714,10,9
1546443615,18,9
1546445595,14,18
1546447454,10,11
1546449374,18,10
1546451309,16,8
1546453221,13,5
1546455154,14,9
1546457076,17,14
1546459482,9,20
1546461616,13,15
1546463532,17,7
1546465452,9,11
1546469295,14,0
1546471216,9,7
1546473130,11,19
1546475051,20,16
1546477720,10,7
1546481556,9,33
1546483455,17,13
1546485646,11,19
1546487544,12,17
1546489476,12,11
1546491400,12,0
1546493294,14,20
1546495463,19,14
1546497370,14,0
1546499560,15,40
1546501451,17,17
1546503393,26,15
1546505312,17,21
1546507232,7,12
1546509142,10,33
1546511070,3,0
1546512967,4,0
1546516841,19,25
1546518765,14,20
1546520654,14,12
1546522567,17,23
1546524523,11,21
1546526410,22,21
