DateTime,Entries,UniqueIPs
1545896026,19772,20169
1545897856,19767,20164
1545899791,19750,20147
1545901691,19745,20143
1545903609,19742,20140
1545905556,19735,20135
1545907694,19744,20143
1545909630,19745,20144
1545911536,19750,20149
1545913475,19742,20140
1545915363,19729,20125
1545917538,19726,20122
1545919469,19723,20120
1545923320,19714,20111
1545925229,19724,20121
1545927400,19741,20139
1545929296,19736,20135
1545931219,19734,20133
1545933145,19732,20132
1545935047,19734,20134
1545936985,19742,20139
1545938884,19748,20145
1545940816,19744,20142
1545942759,19746,20145
1545944919,19748,20147
1545946809,19756,20155
1545948737,19733,20132
1545950678,19725,20123
1545952581,19730,20130
1545954514,19740,20140
1545956428,19741,20142
1545958334,19747,20148
1545960272,19729,20129
1545962431,19746,20147
1545964353,19760,20163
1545966276,19761,20163
1545968460,19755,20157
1545970345,19760,20161
1545972274,19765,20166
1545974171,19766,20168
1545976358,19765,20168
1545978252,19765,20168
1545980436,19764,20166
1545982390,19776,20179
1545984252,19781,20185
1545986166,19779,20185
1545988358,19785,20188
1545990251,19796,20199
1545992192,19798,20200
1545994333,19812,20214
1545996252,19811,20213
1545998187,19818,20221
1546000092,19820,20223
1546002764,19824,20227
1546004675,19817,20220
1546008739,19825,20228
1546010650,19825,20228
1546012836,19819,20222
1546014740,19817,20220
1546016670,19810,20212
1546018570,19804,20207
1546020739,19799,20201
1546022656,19792,20198
1546024601,19803,20209
1546026493,19802,20208
1546028411,19802,20208
1546030353,19802,20207
1546032281,19805,20210
1546034166,19808,20211
1546036117,19812,20215
1546038036,19815,20217
1546039956,19824,20226
1546041853,19820,20222
1546044023,19821,20223
1546046177,19810,20212
1546050254,19812,20214
1546052171,19812,20214
1546054339,19817,20220
1546056273,19814,20217
1546058425,19792,20194
1546060354,19804,20206
1546062257,19811,20213
1546064438,19813,20215
1546066358,19821,20223
1546068255,19821,20224
1546070443,19818,20220
1546072337,19808,20209
1546074266,19816,20217
1546076187,19823,20224
1546078124,19831,20232
1546080032,19828,20229
1546081943,19828,20229
1546083870,19828,20229
1546085779,19830,20232
1546087938,19823,20225
1546089855,19813,20215
1546091786,19802,20203
1546093688,19808,20208
1546095635,19810,20210
1546097552,19801,20201
1546101399,19791,20191
1546103535,19798,20198
1546105449,19798,20199
1546107389,19811,20212
1546109532,19805,20206
1546111456,19816,20216
1546113386,19815,20214
1546115290,19818,20217
1546117237,19812,20212
1546119134,19823,20224
1546121056,19826,20227
1546123001,19836,20237
1546125156,19840,20242
1546127049,19842,20244
1546129239,19854,20256
1546131133,19864,20265
1546133294,19867,20269
1546135241,19864,20267
1546139074,19858,20261
1546140968,19856,20259
1546143182,19858,20261
1546145078,19875,20278
1546146980,19871,20272
1546149158,19887,20288
1546151052,19895,20295
1546152997,19887,20284
1546154891,19881,20276
1546156857,19887,20282
1546158757,19879,20273
1546162838,19845,20238
1546164733,19841,20236
1546166676,19841,20236
1546168576,19840,20235
1546170499,19836,20231
1546172420,19839,20234
1546174356,19831,20226
1546176289,19840,20235
1546180361,19814,20208
1546182261,19831,20225
1546184193,19806,20199
1546186381,19801,20194
1546188250,19805,20199
1546192338,19795,20189
1546194530,19782,20176
1546196424,19774,20169
1546198343,19758,20153
1546200272,19740,20134
1546204341,19739,20133
1546208192,19744,20138
1546210090,19739,20135
1546212011,19738,20133
1546213944,19752,20148
1546216117,19737,20132
1546218071,19726,20120
1546219935,19733,20127
1546221882,19735,20129
1546224019,19731,20125
1546225962,19727,20120
1546227850,19720,20112
1546229777,19710,20101
1546231934,19712,20103
1546233878,19698,20089
1546235766,19707,20098
1546237960,19684,20074
1546239867,19670,20060
1546241794,19659,20048
1546243698,19662,20050
1546245618,19658,20046
1546247786,19649,20038
1546249712,19647,20037
1546251623,19646,20036
1546253530,19643,20033
