DateTime,AddedIPs,RemovedIPs
1544763811,3,2
1544767421,1,0
1544771020,0,1
1544774629,0,1
1544789045,0,1
1544792638,0,1
1544803455,0,1
1544807063,2,1
1544810640,1,2
1544814234,5,1
1544817852,2,2
1544821486,0,1
1544825072,1,3
1544828643,2,2
1544832254,0,1
1544835858,0,1
1544839459,0,1
1544846676,0,2
1544850213,0,1
1544853810,2,0
1544857443,1,1
1544864663,0,1
1544868279,2,1
1544871820,0,2
1544882634,0,4
1544889865,2,6
1544900685,1,1
1544904246,1,0
1544911446,2,1
1544915044,1,3
1544922244,0,4
1544925862,2,2
1544929449,0,1
1544933033,0,1
1544936650,0,1
1544940279,0,2
1544943863,0,1
1544954678,2,0
1544958249,0,1
1544965418,0,3
1544976243,3,1
1544979830,0,1
1544983425,0,1
1544987012,0,4
1544994234,2,1
1544997831,1,2
1545001406,3,3
1545005001,0,2
1545008615,0,1
1545012231,1,1
1545015847,0,2
1545022987,2,1
1545026621,1,1
1545030231,0,1
1545033823,0,1
1545037427,0,1
1545041040,2,0
1545051847,1,1
1545055457,1,3
1545059037,1,2
1545062596,2,1
1545069855,1,3
1545073433,1,0
1545077013,1,0
1545080612,4,0
1545084215,3,2
1545087874,1,0
1545091433,4,2
1545094999,2,4
1545098581,1,7
1545102230,2,0
1545105829,1,3
1545113017,2,0
1545116636,0,4
1545120245,1,0
1545123840,1,3
1545127419,2,3
1545131057,1,1
1545134640,0,1
1545138233,1,1
1545141850,3,2
1545145483,2,1
1545149025,3,1
1545152623,3,1
1545156217,2,1
1545159833,1,0
1545163430,2,0
1545167035,0,1
1545170639,2,2
1545174208,3,3
1545177858,2,2
1545181446,3,1
1545185045,0,1
1545188646,1,0
1545192216,0,1
1545195825,0,1
1545199444,1,0
1545206656,1,0
1545213819,0,1
1545217440,0,1
1545221039,0,2
1545224650,1,0
1545228251,2,0
1545231867,0,2
1545235468,1,2
1545242645,2,0
1545246228,0,4
1545253448,2,2
1545257089,2,1
1545260655,1,1
1545264252,6,3
1545267829,4,4
1545271455,2,3
1545275018,2,9
1545278637,1,6
1545282199,1,7
1545285823,0,5
1545289405,1,8
1545293006,1,6
1545296622,0,12
1545300213,0,2
1545303793,2,0
1545307417,0,1
1545311022,1,0
1545314636,1,0
1545318243,2,1
1545321804,1,1
1545325421,3,1
1545329001,1,1
1545332642,3,0
1545336224,3,0
1545339830,3,3
1545343411,0,2
1545347044,0,2
1545350645,1,1
1545354248,0,1
1545357839,0,3
1545361450,1,0
1545368682,0,3
1545372265,1,1
1545379456,1,0
1545383062,0,1
1545386675,0,1
1545397464,0,1
1545401028,0,1
1545408257,1,0
1545411852,0,1
1545419032,3,0
1545422650,2,0
1545426243,5,4
1545429840,3,0
1545433449,1,0
1545440678,1,0
1545444252,0,1
1545451434,0,2
1545458650,3,2
1545465847,0,1
1545469431,1,0
1545473019,2,0
1545476611,0,2
1545483865,1,1
1545487431,1,1
1545491044,1,0
1545494631,0,1
1545498206,1,3
1545501843,4,0
1545505413,1,1
1545509011,1,1
1545512654,0,2
1545516272,1,0
1545519841,1,2
1545523468,1,0
1545527058,5,0
1545530643,0,1
1545534250,1,0
1545537843,2,0
1545552230,2,0
1545555829,0,1
1545559425,0,1
1545566608,0,1
1545570237,2,1
1545573826,1,0
1545577439,1,0
1545581020,2,0
1545584615,1,1
1545588209,1,0
1545595436,0,1
1545602607,4,3
1545606221,2,1
1545609841,2,5
1545613441,2,0
1545617035,1,0
1545620624,2,0
1545627853,0,1
1545631453,0,2
1545635033,1,0
1545638624,0,1
1545649448,1,0
1545653068,0,1
1545656653,0,1
1545660242,2,1
1545663824,3,0
1545671053,2,2
1545674654,1,1
1545678241,0,1
1545681829,2,1
1545685447,2,0
1545689043,2,1
1545692643,1,0
1545696240,1,4
1545699856,0,3
1545707039,0,2
1545710623,0,1
1545717860,0,2
1545721460,2,1
1545725025,0,1
1545728655,0,1
1545735835,1,0
1545739410,2,0
1545743033,0,1
1545750260,0,1
1545753835,2,1
1545757443,4,1
1545761040,2,1
1545764605,1,5
1545768242,2,2
1545771819,0,1
1545775426,2,0
1545779055,2,1
1545782650,0,3
1545786243,0,1
1545789834,2,3
1545797040,1,2
1545800630,1,0
1545804246,1,0
1545807827,1,0
1545811428,1,0
1545815033,7,0
1545829422,0,1
1545843843,1,1
1545847432,1,2
1545851025,4,3
1545854653,5,0
1545858241,5,1
1545861840,1,2
1545865417,4,0
1545869042,3,3
1545872677,1,1
1545876241,2,2
1545879861,0,1
1545883401,0,2
1545887035,0,1
1545894231,0,2
1545897844,2,2
1545901415,2,4
1545905014,1,4
1545908612,1,1
1545912229,1,1
1545915831,2,1
1545919437,2,0
1545923026,1,2
1545930238,2,1
1545937441,4,0
1545941069,1,1
1545944641,4,5
1545948219,2,1
1545951864,2,1
1545955434,0,1
1545959052,2,0
1545962642,1,0
1545969829,1,1
1545973457,1,0
1545977042,2,0
1545980620,0,1
1545991414,1,0
1545994997,1,0
1545998609,2,0
1546002217,3,0
1546005847,0,1
1546009465,3,0
1546013056,0,1
1546016644,2,0
1546020258,1,1
1546023869,1,1
1546027431,5,0
1546031029,0,3
1546034619,1,3
1546038193,4,1
1546041807,1,0
1546045420,1,2
1546049027,1,0
1546052625,2,0
1546056256,1,0
1546063432,1,2
1546070586,0,2
1546074241,2,0
1546077747,2,1
1546085029,0,1
1546088608,0,2
1546092228,1,1
1546095810,2,2
1546099451,1,0
1546103033,1,1
1546106634,1,4
1546110220,0,1
1546113818,0,1
1546117423,1,0
1546121037,0,2
1546124649,0,1
1546128252,0,1
1546131831,0,2
1546139056,1,2
1546142646,1,1
1546149857,0,2
1546153441,0,1
1546157012,0,2
1546164216,0,1
1546167815,0,1
1546171404,0,1
1546178652,0,1
1546182262,0,1
1546185859,2,1
1546189440,5,2
1546193050,0,1
1546196651,0,1
1546207437,0,3
1546211042,1,3
1546214655,2,1
1546218239,1,0
1546225432,0,1
1546229047,0,1
1546232642,1,0
1546236244,0,1
1546239870,0,1
1546247038,2,1
1546250614,5,3
1546254205,1,1
1546265015,1,1
1546268636,0,1
1546272231,3,2
1546275798,0,2
1546283034,1,0
1546286629,2,0
1546290215,0,1
1546293840,3,2
1546297432,2,1
1546301050,6,2
1546304607,4,2
1546308237,8,2
1546311848,4,0
1546315438,3,1
