DateTime,AddedIPs,RemovedIPs
1546479723,10,0
1546480923,7,0
1546482123,3,0
1546483323,9,0
1546484523,3,0
1546485723,2,0
1546486323,6,0
1546486923,1,0
1546487523,1,0
1546488123,9,0
1546488724,7,0
1546489323,15,0
1546490522,3,0
1546491122,7,0
1546491725,1,0
1546492323,1,0
1546492922,3,0
1546494123,5,0
1546496523,21,0
1546497723,1,0
1546498323,5,0
1546498923,3,0
1546500125,2,0
1546501323,1,0
1546501923,1,0
1546503123,3,0
1546504323,38,0
1546504923,2,0
1546505522,1,0
1546506123,2,0
1546507322,11,0
1546508523,1,0
1546509723,7,0
1546510923,6,1
1546511523,6,0
1546512123,4,0
1546513323,2,0
1546514523,7,0
1546515723,3,0
1546516923,5,0
1546517523,2,0
1546518124,1,0
1546518723,2,0
1546519323,4,0
1546520523,2,0
1546521722,2,0
1546522923,10,0
1546523523,1,0
1546524124,1,0
1546524723,4,0
1546525323,6,0
1546526523,1,0
1546528323,2,0
1546529523,1,0
1546530123,12,0
1546530723,1,0
1546531323,5,0
1546532523,1,0
1546533723,12,0
1546534323,4,0
1546534923,1,0
1546536124,4,0
1546537323,3,0
1546538523,1,0
1546539723,4,0
1546540324,2,0
1546540923,7,0
1546541523,1,0
1546542123,4,0
1546542723,1,0
1546544524,3,0
1546545123,1,0
1546545723,1,0
1546546923,3,0
1546548124,8,0
1546548723,1,0
1546549323,13,0
1546550522,1,0
1546551124,10,0
1546551724,2,0
1546552923,2,0
1546554123,5,0
1546554723,3,0
1546555323,4,0
1546556524,7,0
1546557723,3,0
1546558924,1,0
1546559523,4,0
1546560125,2,0
1546561323,13,0
1546561923,3,0
1546563122,1,0
1546563723,3,0
1546564323,10,0
1546564924,1,0
1546565523,10,0
1546566122,2,0
1546567323,21,0
1546568523,6,0
1546569724,3,0
1546570924,5,0
1546572123,10,0
1546573323,5,0
1546573923,3,0
1546574524,4,0
1546575723,8,0
1546576322,3,0
1546576923,1,0
1546577523,1,0
1546578123,9,0
1546579323,9,0
1546579923,2,0
1546580524,8,0
1546581723,3,0
1546582323,3,0
1546583523,2,0
1546584123,22,0
1546584723,4,0
1546585323,7,0
1546585923,1,0
1546586523,7,0
1546587123,7,1
1546587723,3,0
1546588323,3,0
1546588923,6,0
1546589523,6,0
1546590123,2,0
1546591323,13,0
1546592523,1,0
1546593722,1,0
1546594922,1,0
1546595524,1,0
1546596123,2,0
1546597323,4,0
1546598523,4,0
1546599122,4,0
1546599723,9,0
1546600922,2,0
1546602123,3,0
1546602724,1,0
1546603323,9,0
1546605123,1,0
1546605724,5,0
