DateTime,AddedIPs,RemovedIPs
1546150568,7,11
1546151045,9,11
1546151527,11,5
1546152005,6,9
1546152488,9,1
1546152966,2,6
1546153446,6,6
1546153924,9,4
1546154408,3,4
1546154887,4,11
1546155364,9,6
1546155844,7,8
1546156324,11,8
1546156850,9,9
1546157289,9,6
1546157764,4,8
1546158248,10,4
1546158726,4,3
1546159208,1,1
1546159685,1,0
1546218494,0,7
1546218965,9,6
1546219445,5,8
1546219926,7,5
1546220405,5,10
1546220886,8,6
1546221374,6,9
1546221850,8,9
1546222325,10,6
1546222808,7,14
1546223284,11,9
1546224006,8,9
1546224488,7,6
1546225226,6,8
1546225925,7,9
1546226407,5,8
1546227128,13,10
1546227614,6,5
1546228326,7,7
1546228813,7,7
1546229284,9,5
1546229766,5,8
1546230254,7,5
1546230728,5,5
1546231205,3,5
1546231925,8,5
1546232415,4,5
1546232885,6,7
1546233378,6,8
1546233845,8,8
1546234329,8,5
1546235048,7,6
1546235524,15,15
1546236014,5,4
1546236495,5,9
1546236964,8,9
1546237445,9,11
1546237932,6,7
1546238408,7,7
1546238884,8,8
1546239365,7,3
1546239856,5,11
1546240329,9,5
1546240805,6,8
1546241290,10,6
1546241764,4,9
1546242250,12,8
1546242725,8,10
1546243208,11,3
1546243686,6,10
1546244168,9,5
1546244645,4,3
1546245123,1,0
1546245610,1,0
1546304891,0,4
1546305366,6,8
1546305845,7,9
1546306568,9,8
1546307050,11,9
1546307525,7,6
1546308015,7,8
1546308729,6,9
1546309448,12,7
1546309926,7,6
1546310405,5,7
1546310886,8,5
1546311619,6,6
1546312328,6,9
1546312808,9,7
1546313286,8,12
1546313768,9,7
1546314488,7,9
1546314965,10,9
1546315446,7,6
1546315926,7,9
1546316407,7,6
1546316891,7,8
1546317368,8,4
1546317848,2,8
1546318324,9,12
1546318820,8,6
1546319529,9,9
1546320004,6,7
1546320729,7,9
1546321205,8,5
1546321687,7,8
1546322164,6,8
1546322649,9,7
1546323127,7,7
1546323607,8,5
1546324329,5,8
1546324804,5,4
1546325285,6,10
1546325766,9,6
1546326246,7,8
1546326725,11,10
1546327209,7,7
1546327928,8,8
1546328405,8,5
1546329126,6,8
1546329615,8,5
1546330327,6,6
1546330803,4,5
1546331286,6,4
1546331764,1,0
1546391285,0,8
1546391775,11,8
1546392244,5,5
1546392729,9,15
1546393446,13,9
1546393924,11,9
1546394414,9,9
1546394886,10,12
1546395366,10,6
1546395844,4,7
1546396325,7,8
1546396804,10,5
1546397529,6,7
1546398009,6,8
1546398728,9,8
1546399205,8,9
1546399688,13,8
1546400164,6,6
1546400646,6,8
1546401128,9,6
1546401609,6,8
1546402086,8,7
1546402564,5,10
1546403046,9,14
1546403525,13,7
1546404004,8,9
1546404488,10,8
1546405224,7,14
1546405687,10,8
1546406165,8,8
1546406649,5,7
1546407127,9,10
1546407605,8,7
1546408328,11,9
1546408813,10,6
1546409287,4,7
1546409768,7,12
1546410245,14,7
1546410728,7,8
1546411204,8,6
1546411926,6,6
1546412653,9,6
1546413125,7,7
1546413604,7,9
1546414088,8,5
1546414806,7,2
1546415524,5,7
1546416251,9,15
1546416728,12,5
1546417208,4,3
1546417684,3,2
1546418165,1,1
1546418648,2,1
1546419125,1,0
1546444566,0,1
1546445050,1,0
1546477691,0,8
1546478408,10,9
1546478886,8,6
1546479365,7,12
1546479846,10,12
1546480327,12,11
1546480811,11,11
1546481286,10,9
1546481767,10,10
1546482486,7,7
1546482966,9,7
1546483449,5,7
1546483924,8,10
1546484414,9,9
1546484886,13,8
1546485609,7,7
1546486089,8,6
1546486566,4,5
1546487044,5,7
1546487533,8,6
1546488012,6,9
1546488727,10,9
1546489211,6,7
1546489926,9,10
1546490408,9,7
1546490884,9,6
1546491366,6,3
1546491846,4,10
1546492325,8,6
1546492809,6,9
1546493286,9,8
1546494005,7,8
1546494725,17,17
1546495454,8,10
1546495924,7,7
1546496408,8,6
1546496885,7,8
1546497365,6,9
1546497845,10,12
1546498327,11,7
1546498815,6,6
1546499530,9,8
1546500007,7,8
1546500729,12,11
1546501205,7,9
1546501925,9,5
1546502419,9,9
1546502886,7,9
1546503365,9,4
1546503845,5,3
1546504328,2,2
1546504804,1,1
1546505286,1,0
1546564326,0,6
1546564805,8,8
1546565529,7,7
1546566009,5,9
1546566485,10,4
1546566965,5,9
1546567447,9,8
1546567925,9,10
1546568408,10,8
1546568885,5,10
1546569365,11,7
1546569848,7,8
1546570324,7,6
1546570814,6,8
1546571283,7,4
1546571766,3,10
1546572244,9,5
1546572726,9,12
1546573204,7,4
1546573929,8,6
1546574426,4,8
