DateTime,AddedIPs,RemovedIPs
1546544524,4,20
1546545123,6,0
1546545723,10,0
1546546923,12,17
1546548124,19,45
1546549323,57,10
1546550522,6,23
1546551124,21,7
1546551724,7,13
1546552323,4,9
1546552923,6,9
1546554123,11,21
1546554723,10,0
1546555323,10,0
1546556524,12,12
1546557723,4,14
1546558924,5,24
1546559523,16,8
1546560125,5,21
1546560723,9,0
1546561323,21,0
1546561923,15,4
1546562523,4,12
1546563122,7,5
1546563723,6,0
1546564323,17,5
1546564924,14,7
1546565523,16,11
1546566122,6,0
1546567323,28,15
1546568523,10,40
1546569724,14,9
1546570924,13,0
1546572123,18,25
1546573323,13,0
1546573923,7,14
1546574524,15,0
1546575723,12,26
1546576322,18,0
1546576923,8,15
1546577523,7,0
1546578123,15,26
1546578722,10,9
1546579323,18,14
1546579923,9,0
1546580524,16,11
1546581723,5,67
1546582323,10,15
1546582922,16,0
1546583523,10,13
1546584123,29,5
1546584723,7,12
1546585323,16,13
1546585923,8,31
1546586523,15,0
1546587123,12,16
1546587723,10,19
1546588323,14,11
1546588923,6,15
1546589523,11,0
1546590123,14,11
1546591323,15,14
1546592523,12,29
1546593722,6,23
1546594922,14,7
1546595524,12,11
1546596123,9,0
1546597323,18,27
1546598523,15,18
1546599723,12,10
1546600922,4,7
1546602123,19,6
1546602724,13,22
1546603323,13,0
1546604523,11,2
1546605123,14,8
1546605724,18,0
1546606323,7,25
1546606923,12,0
1546607523,44,0
1546608123,9,17
1546609323,8,13
1546610523,9,26
1546611723,12,13
1546612323,16,0
1546613523,9,2
1546614123,4,4
1546614723,15,0
1546615323,22,4
1546616523,6,0
1546617723,11,18
1546618325,45,16
1546618924,11,0
1546620123,12,26
1546621324,10,0
1546621923,8,4
1546622523,7,8
1546623724,9,4
1546624323,10,8
1546624923,8,9
1546626123,11,11
1546626723,15,0
1546627323,8,8
1546628523,27,29
1546629722,20,17
1546630323,4,13
1546630923,7,6
1546631523,9,0
1546632122,14,0
1546632724,3,8
1546633322,6,0
1546633923,17,6
1546634523,10,8
1546635123,10,10
1546635725,7,7
1546636326,12,0
1546636923,8,7
1546638123,3,0
1546638723,4,7
1546639323,10,11
1546639923,11,0
1546640522,6,11
1546641123,5,10
1546641722,6,0
1546642323,5,20
1546642922,6,14
1546644123,12,0
1546645323,9,15
1546645922,9,0
1546646524,10,9
1546647723,11,11
1546648323,7,22
1546648923,12,8
1546649523,9,0
1546650123,17,0
1546651325,14,10
1546651922,16,21
1546652524,11,15
1546653123,10,7
1546653724,61,3
1546654923,16,7
1546656123,19,23
1546656723,12,10
1546657323,10,0
1546658523,4,13
1546659723,9,4
1546660924,14,7
1546662123,7,32
1546662722,17,0
1546663323,7,2
1546664523,10,20
1546665723,10,11
1546666323,6,20
1546666923,8,0
1546667523,14,66
1546668123,11,14
1546669324,15,7
1546670522,18,22
1546671123,14,14
1546671723,5,0
1546672923,6,11
1546673524,11,10
1546674123,11,4
1546674723,12,7
1546675323,5,11
1546675923,6,11
1546676522,8,0
1546677123,9,9
1546677723,14,0
1546678323,7,7
1546678923,23,0
1546680122,11,4
1546681323,3,12
1546682522,12,7
1546683723,8,20
1546684923,10,67
1546685522,6,12
1546686122,14,0
1546687323,7,28
1546688523,7,6
1546689123,12,10
1546689723,10,0
1546690322,4,10
1546690923,5,9
1546692123,9,12
1546693324,9,0
1546693923,17,9
1546694524,16,5
1546695124,6,13
1546695723,17,6
1546696323,8,0
1546696923,12,11
1546698123,12,0
1546698723,17,9
1546699322,6,22
1546699923,24,5
1546700523,15,6
1546701124,6,0
1546701723,15,5
1546702922,13,12
1546704124,14,10
1546704724,12,10
1546705323,3,12
1546705924,10,14
1546706524,2,16
1546707122,7,0
1546707723,5,9
1546708924,5,44
1546709523,9,0
1546710123,12,11
1546710723,16,0
1546711323,11,0
1546712523,4,18
1546713723,10,21
1546714923,2,0
1546716123,18,11
1546717323,7,10
1546718524,7,3
1546719723,10,8
1546720923,14,23
1546721523,14,6
1546722123,17,14
1546723323,5,15
1546724523,7,5
1546725722,7,24
1546726923,17,0
1546728123,8,16
1546728723,10,0
1546729323,16,8
1546730522,8,14
1546731723,11,0
1546732323,10,14
1546732924,3,21
1546733523,6,0
1546734123,9,5
1546734723,12,5
1546735323,9,6
1546735923,4,0
1546736523,6,14
1546737722,15,0
1546738323,6,6
1546738923,10,15
1546739524,8,0
1546740125,12,0
1546741324,18,17
1546741922,11,5
1546742523,6,4
1546743123,5,0
1546743724,10,5
1546744922,8,8
1546746123,11,25
1546747323,3,0
1546748523,12,8
1546749123,7,7
1546749723,4,0
1546750323,3,6
1546750923,8,0
1546752123,7,21
1546753323,10,6
1546754523,17,36
1546755723,3,0
1546756323,12,21
1546756923,7,14
1546758124,6,0
1546758723,23,18
1546759323,10,5
1546760523,6,0
1546761123,6,6
1546761723,9,0
1546762325,22,25
1546762924,6,0
1546763522,6,10
1546764123,2,9
1546765323,10,5
1546766524,15,15
1546767724,5,9
1546768323,9,7
1546768923,13,13
1546770124,14,0
1546771323,8,11
1546771923,10,17
1546772524,10,0
1546773724,13,88
1546774323,15,5
1546774923,5,0
1546775523,14,13
1546776123,7,25
1546776723,17,11
1546777323,15,0
1546777923,12,16
1546778524,6,8
1546779723,11,17
1546780323,8,0
1546780923,9,0
1546782123,18,12
1546783323,7,16
1546783923,8,6
1546784522,12,5
1546785723,8,5
1546786923,8,5
1546788123,7,9
1546788723,9,0
1546789323,10,8
1546789923,11,11
1546790524,3,13
1546791723,11,18
1546792324,8,12
1546792923,12,0
1546794123,8,17
1546795324,4,16
1546795923,8,7
1546796524,4,11
1546797124,5,0
1546797723,8,4
1546798323,7,0
1546798923,10,0
1546800123,12,21
1546800723,5,0
1546801324,11,7
1546802523,18,5
1546803123,3,4
1546803723,4,0
1546804323,7,3
1546804924,13,4
1546806123,5,6
1546806723,7,9
1546807323,4,0
1546808523,6,8
1546809723,10,0
1546810922,8,35
1546812123,10,4
1546812724,7,11
1546813323,6,9
1546814523,11,4
1546815723,8,29
1546816923,11,14
1546817523,16,0
1546818122,7,11
1546818723,5,0
1546819324,9,16
1546819924,9,0
1546820523,11,11
1546821722,6,30
1546822324,10,12
1546822923,7,11
1546823523,6,0
1546824123,6,0
1546824723,11,13
1546825325,8,14
1546825923,10,0
1546826523,13,0
1546827123,11,16
1546827723,10,14
1546828323,11,8
1546828923,9,3
1546829523,4,0
1546830124,8,18
1546830724,9,0
1546831323,16,18
1546831923,8,18
1546832523,4,7
1546833124,3,0
1546833723,16,0
1546834924,12,14
1546835523,7,6
1546836123,9,14
1546836723,9,0
1546837324,7,10
1546837924,6,0
1546838523,8,22
1546839123,8,12
1546839724,6,8
1546840923,5,13
1546841524,11,0
1546842123,9,7
1546843323,8,20
1546844523,9,0
1546845123,13,6
1546845723,14,8
1546846923,9,23
1546847524,8,22
1546848124,3,0
1546848723,9,6
1546849323,9,0
1546850523,13,31
1546851724,3,0
1546852323,8,10
1546852924,7,13
1546854123,13,11
