DateTime,AddedIPs,RemovedIPs
1546544524,80,80
1546545123,80,80
1546545723,80,80
1546546923,80,80
1546548124,80,80
1546549323,80,80
1546550522,79,79
1546551124,80,80
1546551724,80,80
1546552323,80,80
1546552923,80,80
1546554123,80,80
1546554723,80,80
1546555323,77,77
1546556524,80,80
1546557723,80,80
1546558924,80,80
1546559523,80,80
1546560125,80,80
1546560723,80,80
1546561323,80,80
1546561923,80,80
1546562523,80,80
1546563122,80,80
1546563723,80,80
1546564323,80,80
1546564924,79,79
1546565523,79,79
1546566122,79,79
1546567323,80,80
1546568523,80,80
1546569724,80,80
1546570924,80,80
1546572123,80,80
1546573323,80,80
1546573923,80,80
1546574524,80,80
1546575723,80,80
1546576322,80,80
1546576923,80,80
1546577523,80,80
1546578123,79,79
1546578722,80,80
1546579323,80,80
1546579923,80,80
1546580524,80,80
1546581723,80,80
1546582323,80,80
1546582922,80,80
1546583523,80,80
1546584123,79,79
1546584723,80,80
1546585323,80,80
1546585923,80,80
1546586523,80,80
1546587123,80,80
1546587723,79,79
1546588323,80,80
1546588923,80,80
1546589523,80,80
1546590123,80,80
1546591323,80,80
1546592523,80,80
1546593722,80,80
1546594922,79,79
1546595524,80,80
1546596123,80,80
1546597323,80,80
1546598523,79,79
1546599723,80,80
1546600922,80,80
1546602123,80,80
1546602724,78,78
1546603323,80,80
1546604523,80,80
1546605123,80,80
1546605724,79,79
1546606323,80,80
1546606923,80,80
1546607523,80,80
1546608123,80,80
1546609323,79,79
1546610523,80,80
1546611723,78,78
1546612323,80,80
1546613523,80,80
1546614123,80,80
1546614723,80,80
1546615323,79,79
1546616523,80,80
1546617723,80,80
1546618325,80,80
1546618924,80,80
1546620123,80,80
1546621324,80,80
1546621923,80,80
1546622523,80,80
1546623724,80,80
1546624323,80,80
1546624923,80,80
1546626123,80,80
1546626723,80,80
1546627323,79,79
1546628523,80,80
1546629722,80,80
1546630323,80,80
1546630923,80,80
1546631523,80,80
1546632122,79,79
1546632724,78,78
1546633322,78,78
1546633923,80,80
1546634523,80,80
1546635123,80,80
1546635725,80,80
1546636326,80,80
1546636923,80,80
1546638123,80,80
1546638723,80,80
1546639323,80,80
1546639923,80,80
1546640522,80,80
1546641123,80,80
1546641722,80,80
1546642323,79,79
1546642922,80,80
1546644123,80,80
1546645323,80,80
1546645922,79,79
1546646524,79,79
1546647723,80,80
1546648323,80,80
1546648923,80,80
1546649523,80,80
1546650123,80,80
1546651325,78,78
1546651922,80,80
1546652524,80,80
1546653123,80,80
1546653724,80,80
1546654923,80,80
1546656123,80,80
1546656723,80,80
1546657323,80,80
1546658523,79,79
1546659723,80,80
1546660924,80,80
1546662123,80,80
1546662722,80,80
1546663323,80,80
1546664523,80,80
1546665723,80,80
1546666323,80,80
1546666923,80,80
1546667523,80,80
1546668123,80,80
1546669324,80,80
1546670522,80,80
1546671123,79,79
1546671723,79,79
1546672923,80,80
1546673524,80,80
1546674123,79,79
1546674723,80,80
1546675323,80,80
1546675923,80,80
1546676522,80,80
1546677123,80,80
1546677723,80,80
1546678323,80,80
1546678923,80,80
1546680122,80,80
1546681323,80,80
1546682522,80,80
1546683723,80,80
1546684923,80,80
1546685522,80,80
1546686122,80,80
1546687323,80,80
1546688523,79,79
1546689123,80,80
1546689723,80,80
1546690322,80,80
1546690923,80,80
1546692123,80,80
1546693324,80,80
1546693923,79,79
1546694524,79,79
1546695124,80,80
1546695723,80,80
1546696323,80,80
1546696923,80,80
1546698123,79,79
1546698723,80,80
1546699322,80,80
1546699923,80,80
1546700523,79,79
1546701124,78,78
1546701723,80,80
1546702922,80,80
1546704124,80,80
1546704724,79,79
1546705323,80,80
1546705924,80,80
1546706524,80,80
1546707122,80,80
1546707723,80,80
1546708924,80,80
1546709523,80,80
1546710123,80,80
1546710723,80,80
1546711323,80,80
1546712523,80,80
1546713723,80,80
1546714923,79,79
1546716123,80,80
1546717323,80,80
1546718524,80,80
1546719723,80,80
1546720923,80,80
1546721523,80,80
1546722123,78,78
1546723323,80,80
1546724523,80,80
1546725722,80,80
1546726923,80,80
1546728123,80,80
1546728723,79,79
1546729323,80,80
1546730522,80,80
1546731723,80,80
1546732323,79,79
1546732924,78,78
1546733523,79,79
1546734123,80,80
1546734723,80,80
1546735323,80,80
1546735923,80,80
1546736523,80,80
1546737722,80,80
1546738323,77,77
1546738923,80,80
1546739524,76,76
1546740125,80,80
1546741324,80,80
1546741922,80,80
1546742523,80,80
1546743123,80,80
1546743724,80,80
1546744922,80,80
1546746123,80,80
1546747323,80,80
1546748523,80,80
1546749123,80,80
1546749723,80,80
1546750323,80,80
1546750923,80,80
1546752123,80,80
1546753323,80,80
1546754523,80,80
1546755723,80,80
1546756323,80,80
1546756923,80,80
1546758124,80,80
1546758723,80,80
1546759323,80,80
1546760523,80,80
1546761123,80,80
1546761723,80,80
1546762325,79,79
1546762924,80,80
1546763522,79,79
1546764123,80,80
1546765323,80,80
1546766524,80,80
1546767724,80,80
1546768323,80,80
1546768923,80,80
1546770124,80,80
1546771323,77,77
1546771923,80,80
1546772524,79,79
1546773724,80,80
1546774323,79,79
1546774923,80,80
1546775523,79,79
1546776123,80,80
1546776723,80,80
1546777323,79,79
1546777923,78,78
1546778524,80,80
1546779723,80,80
1546780323,80,80
1546780923,80,80
1546782123,80,80
1546783323,80,80
1546783923,80,80
1546784522,80,80
1546785723,80,80
1546786923,80,80
1546788123,80,80
1546788723,80,80
1546789323,80,80
1546789923,79,79
1546790524,80,80
1546791723,77,77
1546792324,80,80
1546792923,80,80
1546794123,79,79
1546795324,80,80
1546795923,80,80
1546796524,80,80
1546797124,80,80
1546797723,80,80
1546798323,79,79
1546798923,75,75
1546800123,80,80
1546800723,79,79
1546801324,80,80
1546802523,80,80
1546803123,80,80
1546803723,79,79
1546804323,80,80
1546804924,79,79
1546806123,80,80
1546806723,80,80
1546807323,80,80
1546808523,80,80
1546809723,78,78
1546810922,80,80
1546812123,80,80
1546812724,80,80
1546813323,80,80
1546814523,80,80
1546815723,80,80
1546816923,80,80
1546817523,80,80
1546818122,80,80
1546818723,80,80
1546819324,80,80
1546819924,80,80
1546820523,80,80
1546821722,80,80
1546822324,79,79
1546822923,80,80
1546823523,80,80
1546824123,80,80
1546824723,80,80
1546825325,80,80
1546825923,80,80
1546826523,80,80
1546827123,80,80
1546827723,80,80
1546828323,80,80
1546828923,79,79
1546829523,80,80
1546830124,80,80
1546830724,80,80
1546831323,80,80
1546831923,80,80
1546832523,80,80
1546833124,80,80
1546833723,80,80
1546834924,80,80
1546835523,80,80
1546836123,80,80
1546836723,80,80
1546837324,80,80
1546837924,80,80
1546838523,80,80
1546839123,79,79
1546839724,80,80
1546840923,79,79
1546841524,79,79
1546842123,80,80
1546843323,80,80
1546844523,80,80
1546845123,80,80
1546845723,80,80
1546846923,79,79
1546847524,80,80
1546848124,80,80
1546848723,80,80
1546849323,80,80
1546850523,79,79
1546851724,80,80
1546852323,79,79
1546852924,80,80
1546854123,80,80
1546854723,80,80
1546855324,79,79
1546855923,80,80
1546856523,80,80
1546857722,80,80
1546858923,80,80
1546859524,80,80
1546860124,80,80
1546860724,80,80
1546861323,80,80
1546862523,80,80
1546863123,78,78
1546863723,80,80
1546864924,79,79
1546865523,80,80
1546866123,79,79
1546866723,79,79
1546867323,80,80
1546868523,79,79
1546869723,79,79
1546870923,77,77
1546871523,80,80
1546872124,80,80
1546873323,80,80
1546874523,80,80
1546875722,80,80
1546876322,80,80
1546876924,80,80
1546878123,80,80
1546879322,80,80
1546880524,80,80
1546881723,80,80
1546882323,80,80
1546882922,80,80
1546884124,80,80
1546884724,79,79
1546885323,80,80
1546885923,79,79
1546886523,80,80
1546887723,80,80
1546888923,80,80
1546890123,78,78
1546890723,80,80
1546891323,80,80
1546892523,80,80
1546893123,80,80
1546893724,80,80
1546894924,80,80
1546895525,80,80
1546896122,80,80
1546897322,80,80
1546898525,79,79
1546899124,80,80
1546899723,79,79
1546900923,80,80
1546901523,80,80
1546902124,80,80
1546903324,80,80
1546903923,79,79
1546904523,80,80
1546905123,79,79
1546905725,80,80
1546906923,80,80
1546908123,75,75
1546909324,80,80
1546910524,79,79
1546911123,78,78
1546911722,80,80
1546912322,80,80
1546912923,80,80
1546913524,80,80
1546914123,80,80
1546915323,80,80
1546916524,80,80
1546917723,79,79
1546918923,80,80
1546920123,79,79
1546920723,80,80
1546921323,80,80
1546922522,80,80
1546923123,80,80
1546923723,79,79
1546924923,80,80
1546925523,79,79
1546926123,80,80
1546927323,80,80
1546927923,79,79
1546928524,80,80
1546929123,80,80
1546929723,80,80
1546930923,80,80
1546932123,80,80
1546932723,80,80
1546933322,80,80
1546934524,80,80
1546935123,80,80
1546935723,80,80
1546936323,80,80
1546936922,79,79
1546937524,80,80
1546938123,79,79
1546938723,79,79
1546939324,80,80
1546939923,80,80
1546940523,80,80
1546941723,80,80
1546942923,79,79
1546944124,80,80
1546945323,79,79
1546945923,80,80
1546946523,79,79
