DateTime,AddedIPs,RemovedIPs
1546479723,16,9
1546480923,11,0
1546482123,3,15
1546482723,4,0
1546483323,0,2
1546484523,6,0
1546485123,0,8
1546486323,1,0
1546487523,11,7
1546488123,11,7
1546488723,10,0
1546489323,13,2
1546489922,0,2
1546490522,6,0
1546491725,9,9
1546492323,5,11
1546492922,3,0
1546494123,5,7
1546495323,22,17
1546496523,11,0
1546497723,3,10
1546498323,3,2
1546498923,7,0
1546500124,3,1
1546501323,6,4
1546502523,9,12
1546503723,3,8
1546504923,3,8
1546506123,1,8
1546508522,0,7
1546509723,0,4
1546510923,27,17
1546512122,10,19
1546513323,9,20
1546514523,7,18
1546515723,4,28
1546516923,4,19
1546517523,2,0
1546518723,2,17
1546519323,4,0
1546520523,0,12
1546521722,2,17
1546522923,14,0
1546524123,9,25
1546524723,3,19
1546525323,4,6
1546525923,23,0
1546526522,3,15
1546527723,9,21
1546528923,9,8
1546529523,8,7
1546530123,26,11
1546531323,16,15
1546531924,4,9
1546533723,5,16
1546534923,0,2
1546535523,15,10
1546536123,10,19
1546536723,14,0
1546537323,7,15
1546537923,2,0
1546539723,0,31
1546540923,6,0
1546541523,0,2
1546542123,3,0
1546543323,0,4
1546544523,4,6
1546545723,8,21
1546546323,8,24
1546546923,9,17
1546548123,10,41
1546548723,6,0
1546549323,6,0
1546550522,6,8
1546551723,11,3
1546552923,11,3
1546554123,6,39
1546556523,10,18
1546557723,21,9
1546558923,8,25
1546560125,10,16
1546561923,0,8
1546562523,1,4
1546563122,3,8
1546563723,5,0
1546564323,0,6
1546564924,0,2
1546565523,0,6
1546566122,9,0
1546566723,4,9
1546567323,1,0
1546568523,5,53
1546569723,5,13
1546570323,1,0
1546570924,1,0
1546572123,0,13
1546573323,2,0
1546574523,19,8
1546575723,9,12
1546576923,7,29
1546578123,12,17
1546578722,3,0
1546579323,8,6
1546579923,2,9
1546580524,3,9
1546581723,9,2
1546582323,3,14
1546582922,2,0
1546583522,2,10
1546584123,4,12
1546584723,1,10
1546585323,0,4
1546586523,20,0
1546587723,16,11
1546588323,8,12
1546588923,24,8
1546589523,12,0
1546590123,6,9
1546591322,3,14
1546591923,0,11
1546593123,5,14
1546593722,3,3
1546594922,1,2
1546596123,9,2
1546597322,5,5
1546597924,16,10
1546598523,8,9
1546599122,8,7
1546599723,4,9
1546600922,0,5
1546602123,1,2
1546603323,0,6
1546604522,0,8
1546605723,3,1
1546606923,3,3
1546608123,0,1
1546608722,8,20
1546610523,3,43
1546611123,13,0
1546611723,6,18
1546612323,9,0
1546613523,4,17
1546614123,1,4
1546615323,0,7
1546616523,12,7
1546617723,13,17
1546618324,0,10
1546618923,3,0
1546620123,1,14
1546620723,1,0
1546621324,2,0
1546622522,17,27
1546623724,30,0
1546624323,11,13
1546624923,0,10
1546626122,5,0
1546627323,2,3
1546628523,1,5
1546629123,1,0
1546629722,1,7
1546630923,7,7
1546631523,11,7
1546632122,4,0
1546632724,10,18
1546633322,6,0
1546633923,2,19
1546634523,3,7
1546635725,10,34
1546636326,8,0
1546636922,3,11
1546638123,18,0
1546638723,3,11
1546639323,0,8
1546639923,2,0
1546640522,0,2
1546641123,2,3
1546641722,19,0
1546642322,7,16
1546642922,3,25
1546644123,6,0
1546645323,18,24
1546646524,12,10
1546647723,6,1
1546648923,6,11
1546650123,5,0
1546651324,10,2
1546651922,3,2
1546652524,3,26
1546653123,5,0
1546653724,8,16
1546654923,4,17
1546655523,4,2
1546656122,5,0
1546657322,6,2
1546657923,0,5
1546658523,1,5
1546660923,12,0
1546661523,0,20
1546662123,0,12
1546663323,5,5
1546664523,17,30
1546665723,4,4
1546666323,5,6
1546666923,4,0
1546668123,1,13
1546669324,2,0
1546670522,1,18
1546671722,6,6
1546672324,1,1
1546674122,6,12
1546675323,9,29
1546675923,1,17
1546677723,2,17
1546678323,0,18
1546680122,5,13
1546680723,3,0
1546681323,5,5
1546682522,2,0
1546683722,1,5
1546684923,1,9
1546686122,4,12
1546687322,1,6
1546687923,0,11
1546689722,1,12
1546690922,1,5
1546692123,1,9
1546694524,1,7
1546695123,19,13
1546695722,3,4
1546696323,0,3
1546696923,4,23
1546698123,8,0
1546699322,0,49
1546699922,4,0
1546700523,0,12
1546701723,5,17
1546702323,28,7
1546702922,1,3
1546704123,1,28
1546705322,1,6
1546706524,0,5
1546707723,2,0
1546708923,13,30
1546710123,2,13
1546711323,5,15
1546712523,0,19
1546716123,0,1
1546717322,27,13
1546718524,13,0
1546719123,11,18
1546719723,7,0
1546720322,0,18
1546720923,1,0
1546721523,5,10
1546722123,0,4
1546723323,1,5
1546723922,1,10
1546724523,7,0
1546725722,18,18
1546726923,2,0
1546728123,1,25
1546729323,26,15
1546730522,6,36
1546731723,13,1
1546732924,2,21
1546733523,1,0
1546734123,2,0
1546735323,2,4
1546736523,3,7
1546738923,0,4
1546739524,17,11
1546740125,16,0
1546740725,10,17
1546741323,4,14
1546741922,3,18
1546742523,1,8
1546743723,2,0
1546744322,3,0
1546744922,8,0
1546745523,9,3
1546746122,1,1
1546747323,2,1
1546748522,6,1
1546749123,1,16
1546749723,4,0
1546750323,15,28
1546750923,6,0
1546751523,4,19
1546752123,2,18
1546753323,4,7
1546753923,0,7
1546754523,6,7
1546755723,1,0
1546756323,0,8
1546756922,0,17
1546758124,1,0
1546758723,0,18
1546759323,2,7
1546760523,7,0
1546761722,2,11
1546762325,0,24
1546762923,3,0
1546763522,0,1
1546764123,1,4
1546765323,0,3
1546766523,0,18
1546767723,4,6
1546768323,2,0
1546768923,0,7
1546770123,10,0
1546771323,11,7
1546771923,4,18
1546772523,2,0
1546773123,1,14
1546773723,1,4
1546774923,11,1
1546776123,10,11
1546776723,1,0
1546777322,2,0
1546778524,2,3
1546779723,2,0
1546780922,8,0
1546782123,17,17
1546783323,2,8
1546783923,1,0
1546784522,17,13
1546785123,9,0
1546785723,11,20
1546786923,12,12
1546788123,2,8
1546789323,19,22
1546789923,4,22
1546790524,6,14
1546791723,1,3
1546792923,1,4
1546794123,0,4
1546795323,15,13
1546796524,17,20
1546797124,8,17
1546797723,0,8
1546798923,5,0
1546799523,1,0
1546800123,1,5
1546801323,0,6
1546801924,5,0
1546802523,2,0
1546803123,4,4
1546803723,22,0
1546804323,20,7
1546804924,19,3
1546805522,10,6
1546806123,4,0
1546807323,10,24
1546808523,7,5
1546809723,5,0
1546810922,3,12
1546812123,33,16
1546812723,0,7
1546813323,0,4
1546814523,9,2
1546815723,3,5
1546816923,26,8
1546818122,15,12
1546819324,22,3
1546819923,2,0
1546820523,3,0
1546821722,7,2
1546822324,0,9
1546822922,2,0
1546823523,5,0
1546824123,2,0
1546825325,6,15
1546825923,14,0
1546826523,5,0
1546827723,1,6
1546828923,3,3
1546830123,1,0
1546831323,5,0
1546832523,1,0
1546834923,7,7
1546835523,1,29
1546836123,1,9
1546837323,3,8
1546838523,1,11
1546839123,0,3
1546839724,6,4
1546840923,22,23
1546842123,13,26
1546843323,0,30
1546844523,4,0
1546845723,5,5
1546846922,18,9
1546848123,5,16
1546849323,10,14
1546849923,1,11
1546850523,1,22
1546851723,2,0
1546852323,1,3
1546852924,1,8
1546854123,2,2
1546854723,1,7
1546855324,0,3
1546855923,24,0
1546856523,16,20
1546857722,25,12
1546858923,12,3
1546859524,1,4
1546860123,17,2
1546861322,15,1
1546861923,2,1
1546862523,3,1
1546863123,4,0
1546863723,1,1
1546864323,1,0
1546864924,4,1
1546865523,1,4
1546866122,2,3
1546867322,1,2
1546868523,25,29
1546869723,1,12
1546870922,13,14
1546871523,9,39
1546872124,10,9
1546873322,10,15
1546874523,6,2
1546875722,11,18
1546876322,16,0
1546876923,4,12
1546878123,7,18
1546879322,2,0
1546880523,1,21
1546881723,35,19
1546882323,9,0
1546882922,4,7
1546883523,3,0
1546884124,3,6
1546884723,7,0
1546885323,5,0
1546887723,0,8
1546888323,1,1
1546889523,3,6
1546890123,0,11
1546890722,1,0
1546891323,0,10
1546892523,19,0
1546893123,19,22
1546893724,5,2
1546894924,7,3
1546895524,3,0
1546896122,1,9
1546897322,18,3
1546898524,14,0
1546899723,0,20
1546900922,1,13
1546901522,12,0
1546902123,31,4
1546903323,14,42
1546904523,2,0
1546905724,20,5
1546906922,1,14
